;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__concept:name_1_CRP;index__concept:name_1_ER Registration;index__concept:name_1_ER Sepsis Triage;index__concept:name_1_ER Triage;index__concept:name_1_IV Antibiotics;index__concept:name_1_IV Liquid;index__concept:name_1_LacticAcid;index__concept:name_1_Leucocytes;index__concept:name_2_CRP;index__concept:name_2_ER Registration;index__concept:name_2_ER Sepsis Triage;index__concept:name_2_ER Triage;index__concept:name_2_IV Antibiotics;index__concept:name_2_IV Liquid;index__concept:name_2_LacticAcid;index__concept:name_2_Leucocytes;index__concept:name_3_CRP;index__concept:name_3_ER Registration;index__concept:name_3_ER Sepsis Triage;index__concept:name_3_ER Triage;index__concept:name_3_IV Antibiotics;index__concept:name_3_IV Liquid;index__concept:name_3_LacticAcid;index__concept:name_3_Leucocytes;index__concept:name_4_Admission NC;index__concept:name_4_CRP;index__concept:name_4_ER Sepsis Triage;index__concept:name_4_ER Triage;index__concept:name_4_IV Antibiotics;index__concept:name_4_IV Liquid;index__concept:name_4_LacticAcid;index__concept:name_4_Leucocytes;index__concept:name_5_Admission NC;index__concept:name_5_CRP;index__concept:name_5_ER Sepsis Triage;index__concept:name_5_ER Triage;index__concept:name_5_IV Antibiotics;index__concept:name_5_IV Liquid;index__concept:name_5_LacticAcid;index__concept:name_5_Leucocytes;index__concept:name_5_Release A;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;index__org:group_1_A;index__org:group_1_B;index__org:group_1_C;index__org:group_1_L;index__org:group_2_A;index__org:group_2_B;index__org:group_2_C;index__org:group_2_L;index__org:group_3_A;index__org:group_3_B;index__org:group_3_C;index__org:group_3_L;index__org:group_4_A;index__org:group_4_B;index__org:group_4_C;index__org:group_4_F;index__org:group_4_H;index__org:group_4_L;index__org:group_4_S;index__org:group_4_T;index__org:group_4_V;index__org:group_5_A;index__org:group_5_B;index__org:group_5_C;index__org:group_5_D;index__org:group_5_E;index__org:group_5_F;index__org:group_5_G;index__org:group_5_H;index__org:group_5_J;index__org:group_5_K;index__org:group_5_L;index__org:group_5_M;index__org:group_5_O;index__org:group_5_Q;index__org:group_5_R;index__org:group_5_S;index__org:group_5_T;index__org:group_5_U;index__org:group_5_V;encoded_label
static__DiagnosticUrinarySediment_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__DiagnosticXthorax_False;-0.123;-0.063;-0.011;-0.077;-0.004;-0.056;0.014;-0.019;0.08;-0.005;0.117;0.154;0.271;-0.231;-0.106;0.645;-0.489;-0.106;0.817;-0.68;-0.106;0.694;-0.51;-0.106;0.62;-0.481;-0.106;0.113;-0.113;0.111;-0.111;0.132;-0.073;-0.106;0.373;-0.323;-0.106;0.419;-0.365;-0.106;1.0;-0.832;-0.106;0.138;-0.083;-0.106;0.135;-0.079;-0.106;0.124;-0.06;-0.106;0.647;-0.471;-0.106;0.573;-0.439;-0.106;0.118;-0.049;-0.106;0.454;-0.342;-0.106;0.136;-0.08;-0.106;0.318;-0.258;-0.106;0.467;-0.353;-0.106;0.664;-0.48;-0.106;-0.068;0.106;-0.035;-0.032;-0.055;-0.032;-0.051;-0.078;-0.042;0.127;-0.016;-0.03;-0.016;-0.064;-0.002;-0.064;0.101;-0.077;-0.022;-0.042;-0.045;-0.032;0.166;-0.022;-0.077;-0.073;-0.062;-0.131;-0.052;0.103;0.235;-0.137;-0.006;-0.051;-0.072;-0.064;-0.058;0.259;0.474;-0.103;-0.041;-0.016;-0.023;-0.017;-0.121;-0.052;0.143;0.048;-0.075;-0.032;0.01;-0.089;-0.082;0.127;-0.016;0.056;-0.031;-0.077;0.025;-0.173;0.2;-0.073;-0.033;-0.089;0.044;-0.051;0.117;0.083;-0.005;0.083;0.083;0.143;-0.044;-0.244;-0.016;0.117;0.143;0.169;0.165;0.117;0.166;-0.016;-0.039;0.143;0.047;0.143;0.203;0.047;0.117;0.083;0.117;-0.083
static__DiagnosticXthorax_True;0.124;0.097;0.033;0.098;-0.037;0.072;-0.009;-0.023;-0.103;0.026;-0.112;-0.184;-0.054;0.292;-0.464;-0.523;0.726;-0.464;-0.664;0.852;-0.464;-0.572;0.767;-0.464;-0.497;0.703;-0.464;0.426;-0.426;0.433;-0.433;0.334;0.088;-0.464;-0.206;0.419;-0.464;-0.258;0.468;-0.464;-0.832;1.0;-0.464;0.248;0.109;-0.464;0.258;0.104;-0.464;0.37;0.072;-0.464;-0.53;0.732;-0.464;-0.456;0.667;-0.464;0.35;0.066;-0.464;-0.346;0.569;-0.464;0.28;0.101;-0.464;-0.186;0.398;-0.464;-0.358;0.58;-0.464;-0.546;0.746;-0.464;-0.295;0.464;-0.154;-0.138;-0.24;-0.138;0.057;-0.342;0.05;0.239;-0.069;0.049;-0.069;-0.278;0.048;-0.278;0.131;-0.184;0.027;0.017;0.049;-0.006;-0.016;-0.097;-0.164;-0.222;0.081;0.151;0.089;-0.071;-0.195;0.083;-0.226;0.041;0.024;0.01;0.163;-0.18;-0.426;-0.017;0.077;0.019;-0.07;-0.033;0.075;0.161;-0.119;0.224;-0.327;-0.138;0.021;-0.198;-0.13;0.239;0.019;0.05;0.066;-0.184;-0.012;0.066;0.002;-0.222;0.048;-0.09;0.112;0.041;-0.097;-0.069;-0.016;-0.069;-0.069;-0.119;0.021;0.24;0.019;-0.097;-0.119;-0.135;-0.164;-0.097;-0.138;0.019;0.011;-0.119;-0.097;-0.119;-0.169;-0.097;-0.097;-0.069;-0.097;0.023
static__DiagnosticXthorax_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__DisfuncOrg_False;0.03;0.01;0.063;0.079;-0.227;0.046;0.012;-0.029;-0.014;0.06;0.014;-0.03;0.328;-0.007;-0.664;0.101;0.311;-0.664;0.139;0.235;-0.664;0.111;0.326;-0.664;0.114;0.285;-0.664;0.621;-0.621;0.629;-0.629;0.516;0.061;-0.664;0.218;0.088;-0.664;0.198;0.11;-0.664;0.138;0.248;-0.664;1.0;-0.704;-0.664;0.842;-0.492;-0.664;0.742;-0.311;-0.664;0.124;0.315;-0.664;0.136;0.267;-0.664;0.757;-0.345;-0.664;0.145;0.247;-0.664;0.592;-0.128;-0.664;0.228;0.091;-0.664;0.099;0.288;-0.664;0.122;0.322;-0.664;-0.423;0.664;-0.221;-0.197;-0.344;-0.197;-0.03;-0.49;-0.007;0.469;-0.098;-0.013;-0.098;-0.398;0.048;-0.398;0.326;-0.343;0.019;-0.092;-0.018;-0.085;0.147;-0.139;-0.332;-0.359;0.046;0.096;0.046;0.006;0.038;-0.023;-0.302;-0.03;-0.029;-0.059;0.095;0.096;0.045;-0.113;0.024;0.013;-0.091;-0.073;-0.018;0.102;0.023;0.314;-0.468;-0.197;0.04;-0.366;-0.276;0.469;0.013;0.16;0.016;-0.343;0.03;-0.082;0.191;-0.359;0.05;-0.204;0.185;-0.03;0.019;0.013;-0.007;0.013;0.013;0.023;-0.039;0.016;0.013;0.019;0.023;0.042;-0.002;0.019;0.027;0.013;-0.059;0.023;-0.06;0.023;0.033;-0.06;0.019;0.013;0.019;-0.292
static__DisfuncOrg_True;-0.016;0.056;-0.044;-0.057;0.234;-0.023;-0.01;-0.03;-0.034;-0.042;-0.033;-0.041;-0.119;0.157;-0.063;-0.048;0.079;-0.063;-0.078;0.105;-0.063;-0.07;0.097;-0.063;-0.058;0.087;-0.063;0.067;-0.067;0.066;-0.066;0.078;-0.043;-0.063;-0.077;0.106;-0.063;-0.067;0.096;-0.063;-0.083;0.109;-0.063;-0.704;1.0;-0.063;-0.481;0.714;-0.063;-0.173;0.447;-0.063;-0.087;0.112;-0.063;-0.088;0.114;-0.063;-0.236;0.498;-0.063;-0.095;0.12;-0.063;-0.107;0.223;-0.063;-0.139;0.164;-0.063;-0.035;0.066;-0.063;-0.086;0.111;-0.063;-0.04;0.063;-0.021;-0.019;-0.033;-0.019;0.059;-0.046;0.032;-0.028;-0.009;0.056;-0.009;-0.038;0.015;-0.038;-0.059;0.029;-0.013;0.088;0.038;0.056;0.028;-0.013;0.049;-0.01;-0.019;-0.071;0.012;0.027;-0.026;-0.035;0.009;0.031;-0.031;0.0;0.064;-0.041;-0.067;-0.034;0.037;-0.009;-0.031;0.015;-0.031;0.059;-0.016;0.035;-0.044;-0.019;-0.003;0.016;0.024;-0.028;-0.009;-0.042;0.045;0.029;-0.023;-0.039;0.051;-0.01;-0.035;-0.014;0.01;0.031;-0.013;-0.009;-0.025;-0.009;-0.009;-0.016;0.02;0.016;-0.009;-0.013;-0.016;-0.03;-0.026;-0.013;-0.019;-0.009;0.038;-0.016;-0.013;-0.016;-0.023;-0.013;-0.013;-0.009;-0.013;0.302
static__DisfuncOrg_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__Hypotensie_False;0.013;0.025;0.062;0.062;-0.233;0.044;0.035;-0.031;-0.016;0.033;0.012;-0.015;0.316;0.012;-0.677;0.098;0.321;-0.677;0.125;0.255;-0.677;0.108;0.336;-0.677;0.11;0.295;-0.677;0.633;-0.633;0.642;-0.642;0.528;0.06;-0.677;0.218;0.094;-0.677;0.207;0.107;-0.677;0.135;0.258;-0.677;0.842;-0.481;-0.677;1.0;-0.694;-0.677;0.647;-0.104;-0.677;0.122;0.325;-0.677;0.145;0.266;-0.677;0.727;-0.275;-0.677;0.142;0.257;-0.677;0.578;-0.094;-0.677;0.18;0.145;-0.677;0.118;0.278;-0.677;0.119;0.332;-0.677;-0.431;0.677;-0.225;-0.201;-0.35;-0.201;0.009;-0.499;-0.009;0.444;-0.1;0.01;-0.1;-0.405;0.085;-0.405;0.271;-0.333;0.018;-0.052;0.024;-0.088;0.144;-0.142;-0.32;-0.366;0.045;0.05;0.086;0.038;0.037;-0.051;-0.309;0.009;-0.047;-0.062;0.092;0.125;0.042;-0.132;0.082;0.013;-0.094;-0.076;-0.035;0.092;0.023;0.337;-0.477;-0.201;0.018;-0.359;-0.249;0.444;0.013;0.121;0.069;-0.333;0.007;-0.109;0.229;-0.366;0.018;-0.213;0.184;0.009;0.018;0.013;-0.052;0.013;0.013;0.023;0.011;-0.025;0.013;0.018;0.023;0.041;-0.003;0.018;0.026;0.013;-0.061;0.023;-0.062;0.023;0.032;-0.062;0.018;0.013;0.018;-0.301
static__Hypotensie_True;0.008;0.037;-0.043;-0.033;0.245;-0.02;-0.042;-0.029;-0.033;-0.006;-0.031;-0.063;-0.1;0.135;-0.061;-0.043;0.073;-0.061;-0.058;0.086;-0.061;-0.066;0.093;-0.061;-0.053;0.082;-0.061;0.064;-0.064;0.064;-0.064;0.075;-0.042;-0.061;-0.075;0.103;-0.061;-0.078;0.105;-0.061;-0.079;0.104;-0.061;-0.492;0.714;-0.061;-0.694;1.0;-0.061;-0.035;0.173;-0.061;-0.084;0.108;-0.061;-0.1;0.123;-0.061;-0.188;0.412;-0.061;-0.091;0.115;-0.061;-0.08;0.181;-0.061;-0.073;0.099;-0.061;-0.059;0.087;-0.061;-0.083;0.107;-0.061;-0.039;0.061;-0.02;-0.018;-0.031;-0.018;0.007;-0.045;0.034;0.014;-0.009;0.026;-0.009;-0.036;-0.032;-0.036;0.022;0.01;-0.013;0.034;-0.018;0.059;0.036;-0.013;0.027;-0.008;-0.016;-0.009;-0.04;-0.015;-0.026;0.001;0.013;-0.022;-0.007;0.002;0.071;-0.08;-0.064;-0.012;-0.041;-0.009;-0.03;0.019;-0.01;0.077;-0.016;0.011;-0.043;-0.018;0.027;-0.001;-0.017;0.014;-0.009;0.012;-0.025;0.01;0.009;-0.005;0.006;-0.008;0.007;-0.008;0.016;-0.022;-0.013;-0.009;0.034;-0.009;-0.009;-0.016;-0.048;0.073;-0.009;-0.013;-0.016;-0.029;-0.026;-0.013;-0.018;-0.009;0.041;-0.016;-0.013;-0.016;-0.022;-0.013;-0.013;-0.009;-0.013;0.318
static__Hypotensie_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__Hypoxie_False;0.013;0.033;0.049;0.066;-0.07;0.054;0.017;-0.055;-0.04;0.046;-0.004;-0.08;0.349;0.07;-0.86;0.076;0.45;-0.86;0.132;0.348;-0.86;0.063;0.488;-0.86;0.086;0.422;-0.86;0.809;-0.809;0.819;-0.819;0.687;0.047;-0.86;0.212;0.184;-0.86;0.201;0.197;-0.86;0.124;0.37;-0.86;0.742;-0.173;-0.86;0.647;-0.035;-0.86;1.0;-0.481;-0.86;0.096;0.461;-0.86;0.085;0.424;-0.86;0.766;-0.078;-0.86;0.121;0.379;-0.86;0.656;-0.008;-0.86;0.203;0.208;-0.86;0.106;0.393;-0.86;0.094;0.469;-0.86;-0.547;0.86;-0.286;-0.256;-0.445;-0.256;0.006;-0.634;0.027;0.555;-0.128;0.017;-0.128;-0.515;0.066;-0.515;0.356;-0.4;0.014;-0.025;0.0;-0.049;0.194;-0.18;-0.374;-0.44;0.026;0.087;0.055;0.028;0.029;-0.045;-0.351;-0.02;-0.041;-0.098;0.153;0.084;0.012;-0.16;0.043;0.01;-0.133;-0.063;-0.037;0.159;0.018;0.417;-0.607;-0.256;0.037;-0.438;-0.321;0.555;0.01;0.176;0.047;-0.4;0.004;-0.12;0.26;-0.44;0.039;-0.251;0.227;-0.02;0.014;0.01;-0.025;0.01;0.01;0.018;-0.04;0.031;0.01;0.014;0.018;0.033;-0.02;0.014;0.02;0.01;-0.031;0.018;-0.083;0.018;0.025;-0.083;0.014;0.01;0.014;-0.143
static__Hypoxie_True;0.019;0.06;-0.023;-0.04;0.013;-0.036;-0.023;-0.016;-0.018;-0.022;-0.017;0.011;-0.106;0.128;-0.033;0.008;0.013;-0.033;-0.063;0.075;-0.033;0.018;0.006;-0.033;0.001;0.018;-0.033;0.035;-0.035;0.035;-0.035;0.041;-0.023;-0.033;-0.028;0.044;-0.033;-0.037;0.052;-0.033;-0.06;0.072;-0.033;-0.311;0.447;-0.033;-0.104;0.173;-0.033;-0.481;1.0;-0.033;-0.046;0.059;-0.033;0.001;0.018;-0.033;-0.101;0.222;-0.033;-0.058;0.07;-0.033;-0.05;0.108;-0.033;-0.097;0.11;-0.033;-0.031;0.046;-0.033;-0.045;0.058;-0.033;-0.021;0.033;-0.011;-0.01;-0.017;-0.01;0.023;-0.024;-0.013;-0.005;-0.005;0.037;-0.005;-0.02;0.016;-0.02;-0.016;0.008;-0.007;-0.013;0.027;-0.01;0.025;-0.007;0.018;-0.023;0.028;-0.066;0.024;0.007;-0.014;-0.031;-0.026;0.023;-0.045;0.048;0.044;-0.007;-0.035;-0.023;0.04;-0.005;-0.016;-0.024;-0.029;0.041;-0.009;0.003;-0.023;-0.01;0.018;0.002;0.006;-0.005;-0.005;-0.037;0.026;0.008;0.024;-0.035;0.047;-0.023;-0.019;-0.028;0.02;0.023;-0.007;-0.005;-0.013;-0.005;-0.005;-0.009;0.021;0.006;-0.005;-0.007;-0.009;-0.016;-0.014;-0.007;-0.01;-0.005;-0.012;-0.009;-0.007;-0.009;-0.012;-0.007;-0.007;-0.005;-0.007;0.122
static__Hypoxie_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__InfectionSuspected_False;-0.1;-0.096;0.019;-0.1;-0.059;-0.018;-0.057;-0.001;0.055;-0.055;0.199;0.196;0.209;-0.177;-0.082;0.784;-0.623;-0.082;0.615;-0.511;-0.082;0.845;-0.65;-0.082;0.738;-0.598;-0.082;0.087;-0.087;0.086;-0.086;0.087;-0.03;-0.082;0.332;-0.293;-0.082;0.363;-0.321;-0.082;0.647;-0.53;-0.082;0.124;-0.087;-0.082;0.122;-0.084;-0.082;0.096;-0.046;-0.082;1.0;-0.779;-0.082;0.743;-0.601;-0.082;0.101;-0.055;-0.082;0.616;-0.5;-0.082;0.115;-0.075;-0.082;0.337;-0.288;-0.082;0.668;-0.544;-0.082;0.964;-0.743;-0.082;-0.052;0.082;-0.027;-0.025;-0.043;-0.025;-0.046;-0.061;-0.032;0.118;-0.012;-0.057;-0.012;-0.049;0.036;-0.049;0.068;-0.083;-0.017;-0.032;-0.041;-0.025;0.133;-0.017;-0.073;-0.057;-0.063;-0.143;-0.018;0.135;0.261;-0.121;0.028;-0.046;-0.111;-0.049;-0.128;0.338;0.603;-0.13;-0.019;-0.012;-0.041;-0.036;-0.104;-0.118;0.185;0.035;-0.058;-0.025;0.01;-0.091;-0.069;0.118;-0.012;0.031;0.005;-0.083;0.023;-0.178;0.203;-0.057;-0.046;-0.09;0.043;-0.046;0.067;0.107;-0.032;0.107;0.107;0.185;-0.042;-0.329;-0.012;0.067;0.185;0.264;0.219;0.151;0.214;-0.012;-0.03;0.116;0.067;0.185;0.262;0.067;0.151;0.107;0.151;-0.092
static__InfectionSuspected_True;0.099;0.126;0.011;0.116;0.003;0.041;0.051;-0.044;-0.081;0.071;-0.175;-0.216;0.038;0.245;-0.56;-0.594;0.845;-0.56;-0.44;0.701;-0.56;-0.65;0.893;-0.56;-0.552;0.807;-0.56;0.521;-0.521;0.528;-0.528;0.436;0.051;-0.56;-0.134;0.392;-0.56;-0.171;0.427;-0.56;-0.471;0.732;-0.56;0.315;0.112;-0.56;0.325;0.108;-0.56;0.461;0.059;-0.56;-0.779;1.0;-0.56;-0.556;0.81;-0.56;0.428;0.071;-0.56;-0.447;0.713;-0.56;0.357;0.096;-0.56;-0.171;0.429;-0.56;-0.49;0.751;-0.56;-0.751;0.975;-0.56;-0.356;0.56;-0.186;-0.167;-0.29;-0.167;0.051;-0.413;0.042;0.298;-0.083;0.073;-0.083;-0.336;0.023;-0.336;0.193;-0.215;0.022;0.004;0.044;-0.018;0.037;-0.118;-0.201;-0.277;0.081;0.157;0.063;-0.089;-0.201;0.057;-0.285;0.032;0.047;-0.011;0.233;-0.223;-0.506;-0.015;0.062;0.016;-0.068;-0.024;0.05;0.227;-0.144;0.272;-0.395;-0.167;0.024;-0.237;-0.171;0.298;0.016;0.087;0.04;-0.215;-0.007;0.049;0.035;-0.277;0.059;-0.115;0.135;0.032;-0.048;-0.083;0.004;-0.083;-0.083;-0.144;0.013;0.298;0.016;-0.048;-0.144;-0.201;-0.201;-0.118;-0.167;0.016;-0.002;-0.087;-0.118;-0.144;-0.204;-0.118;-0.118;-0.083;-0.118;0.018
