;static__Age;index__CRP_0;index__Leucocytes_0;index__hour_0;index__day_0;index__month_0;index__timesincemidnight_0;index__OrderOfEvent_0;index__openCases_0;index__remainingtime_0;index__CRP_1;index__LacticAcid_1;index__Leucocytes_1;index__hour_1;index__day_1;index__month_1;index__timesincemidnight_1;index__timesincelast_1;index__timesincestart_1;index__OrderOfEvent_1;index__openCases_1;index__remainingtime_1;index__CRP_2;index__LacticAcid_2;index__Leucocytes_2;index__hour_2;index__day_2;index__month_2;index__timesincemidnight_2;index__timesincelast_2;index__timesincestart_2;index__OrderOfEvent_2;index__openCases_2;index__remainingtime_2;index__CRP_3;index__LacticAcid_3;index__Leucocytes_3;index__hour_3;index__day_3;index__month_3;index__timesincemidnight_3;index__timesincelast_3;index__timesincestart_3;index__OrderOfEvent_3;index__openCases_3;index__remainingtime_3;index__CRP_4;index__LacticAcid_4;index__Leucocytes_4;index__hour_4;index__day_4;index__month_4;index__timesincemidnight_4;index__timesincelast_4;index__timesincestart_4;index__OrderOfEvent_4;index__openCases_4;index__remainingtime_4;index__CRP_5;index__LacticAcid_5;index__Leucocytes_5;index__hour_5;index__day_5;index__month_5;index__timesincemidnight_5;index__timesincelast_5;index__timesincestart_5;index__OrderOfEvent_5;index__openCases_5;index__remainingtime_5;encoded_label
index__Leucocytes_1;-0.105;0.416;0.649;-0.119;0.023;0.021;-0.12;0.551;0.081;-0.027;0.36;0.362;1.0;-0.081;0.023;0.021;-0.082;0.215;0.243;0.257;0.081;-0.027;0.243;0.276;0.455;-0.004;0.023;0.021;-0.005;0.511;0.533;0.023;0.08;-0.027;-0.033;-0.079;0.128;-0.006;0.023;0.021;-0.006;0.038;0.512;-0.321;0.08;-0.027;0.114;-0.07;0.132;-0.002;0.023;0.021;-0.003;-0.028;0.505;-0.008;0.08;-0.027;0.133;-0.009;0.032;0.013;0.022;0.021;0.009;-0.009;0.156;0.122;0.081;-0.027;0.045
index__hour_1;-0.065;-0.053;-0.043;0.944;-0.01;-0.083;0.943;-0.066;-0.049;-0.031;-0.015;-0.065;-0.081;1.0;-0.011;-0.083;0.999;0.055;0.053;-0.009;-0.049;-0.031;-0.054;-0.022;-0.013;0.964;-0.011;-0.083;0.963;-0.074;-0.027;0.027;-0.049;-0.031;0.019;-0.01;-0.065;0.95;-0.01;-0.083;0.95;-0.048;-0.023;0.011;-0.049;-0.031;-0.007;-0.037;-0.083;0.94;-0.01;-0.083;0.94;0.031;-0.015;-0.03;-0.049;-0.031;0.01;-0.051;-0.031;0.884;-0.009;-0.083;0.885;-0.03;-0.033;-0.007;-0.049;-0.03;-0.057
index__day_1;0.01;0.046;0.049;-0.004;1.0;0.03;-0.003;0.041;-0.018;0.023;0.032;0.03;0.023;-0.011;1.0;0.03;-0.011;0.007;0.004;-0.03;-0.018;0.023;0.086;0.023;0.038;0.002;1.0;0.03;0.003;0.025;0.022;0.011;-0.018;0.023;0.027;-0.008;-0.055;0.008;1.0;0.03;0.008;-0.054;0.017;-0.034;-0.018;0.023;0.085;-0.03;-0.003;0.004;1.0;0.03;0.003;-0.013;0.014;0.016;-0.018;0.023;0.07;0.003;-0.019;-0.008;1.0;0.03;-0.011;-0.027;-0.02;0.013;-0.017;0.024;0.108
index__month_1;0.039;-0.007;0.026;-0.102;0.031;1.0;-0.101;0.037;0.21;-0.003;-0.053;0.008;0.021;-0.083;0.03;1.0;-0.084;0.0;-0.003;-0.015;0.21;-0.003;0.059;-0.041;0.019;-0.063;0.03;1.0;-0.064;0.017;0.015;-0.007;0.21;-0.003;0.039;0.023;0.036;-0.057;0.03;1.0;-0.057;0.026;0.009;0.046;0.21;-0.003;0.031;0.049;0.004;-0.067;0.03;1.0;-0.065;-0.026;0.007;0.005;0.21;-0.003;-0.018;0.058;0.04;-0.08;0.03;1.0;-0.079;-0.016;-0.013;-0.047;0.21;-0.003;0.032
index__timesincemidnight_1;-0.065;-0.054;-0.041;0.943;-0.01;-0.084;0.943;-0.065;-0.048;-0.034;-0.019;-0.066;-0.082;0.999;-0.011;-0.084;1.0;0.058;0.056;-0.011;-0.049;-0.034;-0.056;-0.023;-0.015;0.963;-0.011;-0.084;0.964;-0.073;-0.024;0.026;-0.049;-0.033;0.019;-0.008;-0.066;0.95;-0.011;-0.084;0.951;-0.046;-0.019;0.013;-0.049;-0.033;-0.007;-0.037;-0.085;0.94;-0.01;-0.084;0.941;0.032;-0.011;-0.029;-0.049;-0.033;0.01;-0.051;-0.031;0.884;-0.01;-0.084;0.885;-0.029;-0.03;-0.007;-0.048;-0.033;-0.056
index__timesincelast_1;-0.091;0.102;0.349;-0.071;0.007;0.0;-0.072;-0.038;0.02;0.02;0.076;-0.0;0.215;0.055;0.007;0.0;0.058;1.0;0.997;0.013;0.019;0.02;0.021;-0.02;0.107;0.049;0.007;0.0;0.053;-0.026;0.628;-0.021;0.019;0.02;-0.033;-0.045;0.009;0.047;0.007;0.0;0.052;-0.022;0.606;-0.047;0.019;0.02;0.026;-0.083;-0.004;0.052;0.007;0.0;0.054;-0.029;0.595;-0.009;0.019;0.02;0.053;-0.021;-0.008;0.05;0.007;0.0;0.046;-0.006;0.186;0.077;0.019;0.02;-0.02
index__timesincestart_1;-0.093;0.101;0.347;-0.073;0.004;-0.003;-0.074;-0.039;0.021;0.016;0.125;0.003;0.243;0.053;0.004;-0.003;0.056;0.997;1.0;0.037;0.02;0.015;0.042;0.008;0.13;0.047;0.004;-0.003;0.052;-0.023;0.629;-0.006;0.02;0.015;-0.035;-0.049;0.015;0.045;0.004;-0.003;0.05;-0.025;0.605;-0.069;0.02;0.015;0.035;-0.082;0.003;0.05;0.004;-0.003;0.052;-0.026;0.594;-0.01;0.02;0.015;0.062;-0.017;-0.006;0.048;0.004;-0.003;0.044;-0.008;0.185;0.082;0.02;0.015;-0.016
index__OrderOfEvent_1;-0.014;-0.335;-0.413;-0.016;-0.03;-0.015;-0.018;-0.481;0.035;0.042;0.319;0.712;0.257;-0.009;-0.03;-0.015;-0.011;0.013;0.037;1.0;0.035;0.042;-0.064;0.421;0.023;-0.069;-0.03;-0.015;-0.07;-0.364;-0.274;-0.031;0.036;0.042;-0.14;0.029;0.035;-0.073;-0.031;-0.015;-0.075;-0.108;-0.295;-0.278;0.036;0.042;-0.029;0.093;0.033;-0.073;-0.031;-0.015;-0.073;0.012;-0.281;-0.011;0.036;0.042;-0.039;0.114;0.004;-0.081;-0.031;-0.015;-0.08;-0.023;-0.109;0.005;0.036;0.042;-0.014
index__openCases_1;-0.052;-0.005;0.039;-0.061;-0.017;0.21;-0.062;0.03;1.0;-0.127;0.02;0.056;0.081;-0.049;-0.018;0.21;-0.049;0.019;0.02;0.035;1.0;-0.127;-0.048;0.019;0.093;-0.027;-0.018;0.21;-0.027;0.068;0.062;0.027;1.0;-0.127;-0.031;-0.025;-0.066;-0.02;-0.018;0.21;-0.02;0.039;0.067;-0.013;1.0;-0.127;-0.007;0.001;0.068;-0.007;-0.018;0.21;-0.007;0.05;0.078;0.041;1.0;-0.127;-0.055;-0.037;-0.075;-0.024;-0.017;0.21;-0.024;0.046;0.068;-0.051;1.0;-0.128;-0.018
index__remainingtime_1;0.06;-0.049;-0.035;-0.001;0.023;-0.003;-0.001;-0.051;-0.127;1.0;-0.048;0.034;-0.027;-0.031;0.023;-0.003;-0.034;0.02;0.015;0.042;-0.127;1.0;-0.08;-0.034;-0.064;-0.04;0.023;-0.003;-0.043;-0.06;-0.034;-0.03;-0.128;1.0;-0.026;-0.022;0.012;-0.041;0.023;-0.003;-0.042;-0.046;-0.043;0.031;-0.127;1.0;-0.067;0.039;0.043;-0.041;0.023;-0.003;-0.042;-0.021;-0.051;0.011;-0.127;1.0;-0.082;-0.044;0.018;-0.034;0.023;-0.003;-0.033;-0.027;-0.039;-0.036;-0.127;1.0;0.088
index__CRP_2;-0.018;0.376;0.194;-0.072;0.086;0.059;-0.069;0.246;-0.048;-0.08;0.423;-0.017;0.243;-0.054;0.086;0.059;-0.056;0.021;0.042;-0.064;-0.048;-0.08;1.0;0.36;0.494;-0.018;0.086;0.059;-0.021;0.213;0.208;0.457;-0.048;-0.08;0.212;0.187;0.078;-0.027;0.086;0.059;-0.028;0.009;0.163;-0.28;-0.048;-0.08;0.361;-0.083;0.242;-0.022;0.086;0.059;-0.022;0.071;0.176;-0.19;-0.048;-0.08;0.534;0.148;0.086;0.01;0.085;0.059;0.005;0.004;0.063;0.158;-0.049;-0.08;0.059
index__LacticAcid_2;0.013;-0.012;-0.035;-0.03;0.023;-0.041;-0.03;-0.032;0.019;-0.034;0.298;0.365;0.276;-0.022;0.023;-0.041;-0.023;-0.02;0.008;0.421;0.019;-0.034;0.36;1.0;0.412;-0.016;0.023;-0.041;-0.019;0.009;0.008;0.587;0.019;-0.034;-0.144;0.21;0.027;-0.024;0.023;-0.041;-0.026;-0.094;-0.033;-0.447;0.019;-0.034;0.013;0.116;0.159;-0.023;0.023;-0.041;-0.025;0.003;-0.034;-0.14;0.019;-0.034;0.143;0.241;0.04;-0.033;0.023;-0.041;-0.038;-0.023;-0.029;0.095;0.019;-0.034;-0.027
index__Leucocytes_2;-0.016;0.23;0.343;-0.039;0.038;0.019;-0.038;0.29;0.093;-0.064;0.281;0.091;0.455;-0.013;0.038;0.019;-0.015;0.107;0.13;0.023;0.093;-0.064;0.494;0.412;1.0;0.029;0.038;0.019;0.026;0.305;0.311;0.645;0.092;-0.064;-0.059;0.057;0.147;0.022;0.038;0.019;0.02;0.008;0.273;-0.309;0.092;-0.064;0.022;-0.104;0.322;0.029;0.038;0.019;0.026;0.019;0.287;-0.251;0.092;-0.064;0.222;0.066;0.143;0.042;0.037;0.019;0.039;-0.007;0.088;0.133;0.093;-0.064;-0.012
index__hour_2;-0.087;0.026;0.06;0.909;0.003;-0.063;0.909;0.057;-0.027;-0.04;-0.01;-0.067;-0.004;0.964;0.002;-0.063;0.963;0.049;0.047;-0.069;-0.027;-0.04;-0.018;-0.016;0.029;1.0;0.001;-0.063;0.999;0.078;0.089;0.021;-0.027;-0.04;0.035;-0.009;-0.057;0.986;0.001;-0.063;0.986;-0.026;0.092;0.008;-0.027;-0.04;0.002;-0.046;-0.067;0.973;0.002;-0.063;0.973;-0.018;0.081;-0.04;-0.027;-0.04;0.033;-0.052;-0.024;0.912;0.002;-0.063;0.912;-0.042;-0.012;0.015;-0.026;-0.04;-0.044
index__day_2;0.011;0.046;0.049;-0.003;1.0;0.03;-0.002;0.041;-0.018;0.023;0.032;0.03;0.023;-0.011;1.0;0.03;-0.011;0.007;0.004;-0.03;-0.018;0.023;0.086;0.023;0.038;0.001;1.0;0.03;0.002;0.025;0.022;0.012;-0.018;0.023;0.026;-0.008;-0.055;0.007;1.0;0.03;0.007;-0.054;0.017;-0.034;-0.018;0.023;0.085;-0.03;-0.004;0.004;1.0;0.03;0.002;-0.011;0.015;0.016;-0.018;0.023;0.07;0.003;-0.019;-0.009;1.0;0.03;-0.012;-0.026;-0.02;0.013;-0.018;0.024;0.108
index__month_2;0.039;-0.007;0.026;-0.102;0.031;1.0;-0.101;0.037;0.21;-0.003;-0.053;0.008;0.021;-0.083;0.03;1.0;-0.084;0.0;-0.003;-0.015;0.21;-0.003;0.059;-0.041;0.019;-0.063;0.03;1.0;-0.064;0.017;0.015;-0.007;0.21;-0.003;0.039;0.023;0.036;-0.057;0.03;1.0;-0.057;0.026;0.009;0.046;0.21;-0.003;0.031;0.049;0.004;-0.067;0.03;1.0;-0.065;-0.026;0.007;0.005;0.21;-0.003;-0.018;0.058;0.04;-0.08;0.03;1.0;-0.079;-0.016;-0.013;-0.047;0.21;-0.003;0.032
index__timesincemidnight_2;-0.089;0.028;0.061;0.907;0.004;-0.064;0.907;0.056;-0.026;-0.043;-0.012;-0.068;-0.005;0.963;0.003;-0.064;0.964;0.053;0.052;-0.07;-0.027;-0.043;-0.021;-0.019;0.026;0.999;0.002;-0.064;1.0;0.08;0.093;0.019;-0.027;-0.043;0.035;-0.009;-0.055;0.986;0.002;-0.064;0.987;-0.025;0.097;0.011;-0.027;-0.043;0.001;-0.048;-0.069;0.973;0.003;-0.064;0.974;-0.017;0.085;-0.038;-0.027;-0.043;0.031;-0.052;-0.024;0.912;0.003;-0.064;0.912;-0.04;-0.009;0.014;-0.026;-0.043;-0.043
index__timesincelast_2;-0.089;0.516;0.646;-0.075;0.025;0.017;-0.074;0.772;0.068;-0.06;0.076;-0.02;0.511;-0.074;0.025;0.017;-0.073;-0.026;-0.023;-0.364;0.068;-0.06;0.213;0.009;0.305;0.078;0.025;0.017;0.08;1.0;0.758;0.023;0.068;-0.06;0.04;-0.077;0.06;0.08;0.025;0.017;0.081;0.097;0.748;-0.107;0.068;-0.06;0.064;-0.116;0.062;0.081;0.025;0.017;0.082;-0.034;0.724;-0.011;0.068;-0.06;0.103;-0.063;0.001;0.105;0.025;0.017;0.102;0.016;0.247;0.125;0.069;-0.061;0.061
index__timesincestart_2;-0.124;0.466;0.727;-0.11;0.022;0.015;-0.11;0.573;0.062;-0.033;0.107;-0.015;0.533;-0.027;0.022;0.015;-0.024;0.628;0.629;-0.274;0.062;-0.034;0.208;0.008;0.311;0.089;0.022;0.015;0.093;0.758;1.0;0.017;0.062;-0.034;0.014;-0.07;0.051;0.089;0.022;0.015;0.092;0.064;0.975;-0.121;0.061;-0.034;0.075;-0.145;0.055;0.092;0.022;0.015;0.094;-0.036;0.948;-0.026;0.062;-0.034;0.126;-0.05;-0.003;0.111;0.022;0.015;0.106;0.008;0.313;0.154;0.062;-0.034;0.033
index__OrderOfEvent_2;0.053;-0.031;-0.035;0.021;0.011;-0.007;0.021;-0.032;0.027;-0.03;0.126;-0.186;0.023;0.027;0.011;-0.007;0.026;-0.021;-0.006;-0.031;0.027;-0.03;0.457;0.587;0.645;0.021;0.012;-0.007;0.019;0.023;0.017;1.0;0.027;-0.03;-0.129;0.151;0.039;0.013;0.012;-0.007;0.011;-0.068;-0.024;-0.323;0.027;-0.03;-0.029;-0.038;0.179;0.018;0.011;-0.007;0.017;0.074;-0.001;-0.308;0.027;-0.03;0.175;0.129;0.055;0.011;0.012;-0.007;0.008;-0.001;0.002;0.095;0.027;-0.03;-0.047
index__openCases_2;-0.052;-0.005;0.037;-0.061;-0.017;0.21;-0.062;0.028;1.0;-0.128;0.021;0.056;0.08;-0.049;-0.018;0.21;-0.049;0.019;0.02;0.036;1.0;-0.128;-0.048;0.019;0.092;-0.027;-0.018;0.21;-0.027;0.068;0.062;0.027;1.0;-0.128;-0.031;-0.025;-0.066;-0.02;-0.018;0.21;-0.02;0.039;0.067;-0.013;1.0;-0.128;-0.007;0.001;0.068;-0.007;-0.018;0.21;-0.007;0.05;0.078;0.041;1.0;-0.128;-0.055;-0.037;-0.075;-0.024;-0.017;0.21;-0.024;0.046;0.068;-0.05;1.0;-0.128;-0.018
index__remainingtime_2;0.06;-0.05;-0.035;-0.001;0.023;-0.003;-0.001;-0.052;-0.127;1.0;-0.048;0.034;-0.027;-0.031;0.023;-0.003;-0.033;0.02;0.015;0.042;-0.127;1.0;-0.08;-0.034;-0.064;-0.04;0.023;-0.003;-0.043;-0.06;-0.034;-0.03;-0.128;1.0;-0.027;-0.022;0.012;-0.041;0.023;-0.003;-0.042;-0.046;-0.043;0.031;-0.127;1.0;-0.067;0.039;0.043;-0.041;0.023;-0.003;-0.042;-0.021;-0.051;0.011;-0.127;1.0;-0.082;-0.044;0.018;-0.034;0.023;-0.003;-0.033;-0.027;-0.039;-0.036;-0.127;1.0;0.088
index__CRP_3;-0.084;0.183;0.056;0.009;0.027;0.039;0.012;0.097;-0.031;-0.026;0.064;-0.07;-0.033;0.019;0.027;0.039;0.019;-0.033;-0.035;-0.14;-0.031;-0.026;0.212;-0.144;-0.059;0.035;0.026;0.039;0.035;0.04;0.014;-0.129;-0.031;-0.027;1.0;0.131;0.145;0.042;0.026;0.039;0.042;0.001;0.044;0.282;-0.031;-0.027;0.536;0.195;0.112;0.038;0.026;0.039;0.038;-0.029;0.002;-0.04;-0.031;-0.026;0.317;-0.088;0.135;0.047;0.025;0.039;0.045;-0.054;-0.053;-0.298;-0.032;-0.026;0.124
index__LacticAcid_3;0.01;-0.062;-0.079;-0.008;-0.008;0.023;-0.007;-0.071;-0.024;-0.022;-0.052;0.046;-0.079;-0.01;-0.008;0.023;-0.008;-0.045;-0.049;0.029;-0.025;-0.022;0.187;0.21;0.057;-0.009;-0.008;0.023;-0.009;-0.077;-0.07;0.151;-0.025;-0.022;0.131;1.0;0.15;-0.008;-0.008;0.023;-0.007;0.186;-0.072;0.456;-0.024;-0.022;-0.219;0.389;-0.014;-0.011;-0.008;0.023;-0.011;-0.159;-0.104;-0.472;-0.024;-0.022;-0.05;0.409;0.094;-0.018;-0.009;0.023;-0.019;-0.066;-0.094;-0.188;-0.025;-0.022;0.019
index__Leucocytes_3;-0.006;0.043;0.082;-0.076;-0.055;0.036;-0.074;0.066;-0.066;0.012;0.074;0.059;0.128;-0.065;-0.055;0.036;-0.066;0.009;0.015;0.035;-0.066;0.012;0.078;0.027;0.147;-0.057;-0.055;0.036;-0.055;0.06;0.051;0.039;-0.066;0.012;0.145;0.15;1.0;-0.058;-0.055;0.036;-0.055;0.158;0.06;0.305;-0.066;0.012;-0.007;0.082;0.269;-0.056;-0.055;0.036;-0.054;0.004;0.052;-0.126;-0.066;0.012;-0.15;-0.1;0.736;-0.043;-0.055;0.036;-0.042;0.011;0.032;-0.295;-0.066;0.012;0.018
index__hour_3;-0.093;0.028;0.061;0.895;0.009;-0.057;0.895;0.058;-0.019;-0.041;-0.014;-0.07;-0.006;0.95;0.008;-0.057;0.95;0.047;0.045;-0.073;-0.02;-0.041;-0.027;-0.024;0.022;0.986;0.007;-0.057;0.986;0.08;0.089;0.013;-0.02;-0.041;0.042;-0.008;-0.058;1.0;0.006;-0.057;0.999;-0.003;0.103;0.016;-0.02;-0.041;0.002;-0.037;-0.072;0.987;0.007;-0.057;0.986;-0.002;0.092;-0.032;-0.019;-0.041;0.028;-0.056;-0.023;0.923;0.008;-0.057;0.921;-0.032;-0.001;0.001;-0.019;-0.041;-0.047
