;static__case:RequestedAmount;index__timesincemidnight_0;index__month_0;index__weekday_0;index__hour_0;index__open_cases_0;index__timesincelastevent_1;index__timesincecasestart_1;index__timesincemidnight_1;index__month_1;index__weekday_1;index__hour_1;index__open_cases_1;index__timesincelastevent_2;index__timesincecasestart_2;index__timesincemidnight_2;index__month_2;index__weekday_2;index__hour_2;index__open_cases_2;index__timesincelastevent_3;index__timesincecasestart_3;index__timesincemidnight_3;index__month_3;index__weekday_3;index__hour_3;index__open_cases_3;index__timesincelastevent_4;index__timesincecasestart_4;index__timesincemidnight_4;index__month_4;index__weekday_4;index__hour_4;index__open_cases_4;index__FirstWithdrawalAmount_5;index__MonthlyCost_5;index__NumberOfTerms_5;index__OfferedAmount_5;index__timesincelastevent_5;index__timesincecasestart_5;index__timesincemidnight_5;index__month_5;index__weekday_5;index__hour_5;index__open_cases_5;encoded_label
index__month_2;0.079;-0.028;1.0;-0.004;-0.028;0.624;0.456;0.456;-0.028;1.0;-0.004;-0.028;0.624;-0.091;0.218;-0.028;1.0;-0.004;-0.028;0.624;-0.01;-0.01;-0.023;1.0;-0.003;-0.023;0.624;-0.014;-0.01;-0.023;1.0;-0.003;-0.024;0.624;0.055;0.037;0.025;0.047;-0.004;-0.008;-0.027;0.999;-0.002;-0.028;0.623;0.016
index__weekday_2;0.01;0.009;-0.004;1.0;0.009;-0.01;0.042;0.042;0.009;-0.004;1.0;0.009;-0.01;0.051;0.056;0.009;-0.004;1.0;0.009;-0.01;0.156;0.156;-0.019;-0.004;0.923;-0.02;-0.01;-0.022;0.155;-0.02;-0.004;0.923;-0.02;-0.01;-0.054;-0.085;-0.097;-0.083;-0.022;0.034;-0.024;-0.004;0.896;-0.024;-0.012;-0.011
index__hour_2;-0.001;0.998;-0.028;0.009;1.0;-0.031;0.053;0.053;0.998;-0.028;0.009;1.0;-0.031;0.03;0.05;0.998;-0.028;0.009;1.0;-0.031;0.101;0.101;0.876;-0.028;0.006;0.878;-0.032;-0.036;0.099;0.876;-0.028;0.006;0.877;-0.032;-0.076;-0.119;-0.131;-0.119;-0.053;-0.015;0.833;-0.028;0.007;0.834;-0.033;0.007
index__open_cases_2;0.041;-0.031;0.624;-0.01;-0.031;1.0;0.095;0.095;-0.031;0.624;-0.01;-0.031;1.0;-0.038;0.034;-0.031;0.624;-0.01;-0.031;1.0;-0.002;-0.002;-0.036;0.624;-0.01;-0.036;1.0;-0.015;-0.003;-0.036;0.624;-0.01;-0.037;1.0;0.042;0.023;0.017;0.03;0.008;0.007;-0.043;0.624;-0.008;-0.044;0.999;0.004
index__timesincelastevent_3;-0.005;0.101;-0.01;0.156;0.101;-0.002;0.028;0.028;0.101;-0.01;0.156;0.101;-0.002;0.043;0.043;0.101;-0.01;0.156;0.101;-0.002;1.0;1.0;-0.218;-0.008;-0.107;-0.216;-0.005;0.027;0.999;-0.218;-0.008;-0.107;-0.216;-0.005;-0.056;-0.087;-0.099;-0.086;-0.031;0.323;-0.222;-0.008;-0.111;-0.22;-0.005;0.057
index__timesincecasestart_3;-0.005;0.101;-0.01;0.156;0.101;-0.002;0.028;0.028;0.101;-0.01;0.156;0.101;-0.002;0.043;0.043;0.101;-0.01;0.156;0.101;-0.002;1.0;1.0;-0.218;-0.008;-0.107;-0.216;-0.005;0.027;0.999;-0.218;-0.008;-0.107;-0.216;-0.005;-0.056;-0.087;-0.099;-0.086;-0.031;0.323;-0.222;-0.008;-0.111;-0.22;-0.005;0.057
index__timesincemidnight_3;0.001;0.878;-0.023;-0.019;0.876;-0.036;0.049;0.049;0.878;-0.023;-0.019;0.876;-0.036;0.021;0.042;0.878;-0.023;-0.019;0.876;-0.036;-0.218;-0.218;1.0;-0.023;0.035;0.998;-0.034;-0.041;-0.22;1.0;-0.023;0.035;0.997;-0.034;-0.06;-0.094;-0.102;-0.094;-0.043;-0.119;0.957;-0.023;0.038;0.955;-0.034;-0.009
index__month_3;0.079;-0.027;1.0;-0.004;-0.028;0.624;0.456;0.456;-0.027;1.0;-0.004;-0.028;0.624;-0.091;0.218;-0.027;1.0;-0.004;-0.028;0.624;-0.008;-0.008;-0.023;1.0;-0.003;-0.024;0.624;-0.014;-0.009;-0.024;1.0;-0.003;-0.024;0.624;0.055;0.037;0.025;0.047;-0.004;-0.007;-0.028;1.0;-0.003;-0.028;0.624;0.016
index__weekday_3;0.011;0.006;-0.003;0.923;0.006;-0.01;0.037;0.037;0.006;-0.003;0.923;0.006;-0.01;0.046;0.05;0.006;-0.003;0.923;0.006;-0.01;-0.107;-0.107;0.035;-0.003;1.0;0.035;-0.01;-0.02;-0.108;0.035;-0.003;1.0;0.035;-0.01;-0.043;-0.068;-0.078;-0.067;-0.015;-0.053;0.031;-0.003;0.973;0.031;-0.011;-0.021
index__hour_3;0.001;0.877;-0.023;-0.02;0.878;-0.036;0.049;0.049;0.877;-0.023;-0.02;0.878;-0.036;0.021;0.042;0.877;-0.023;-0.02;0.878;-0.036;-0.216;-0.216;0.998;-0.024;0.035;1.0;-0.035;-0.04;-0.217;0.997;-0.024;0.035;0.999;-0.035;-0.059;-0.093;-0.101;-0.093;-0.043;-0.118;0.955;-0.024;0.037;0.956;-0.035;-0.009
index__open_cases_3;0.041;-0.031;0.624;-0.01;-0.032;1.0;0.094;0.094;-0.031;0.624;-0.01;-0.032;1.0;-0.038;0.033;-0.031;0.624;-0.01;-0.032;1.0;-0.005;-0.005;-0.034;0.624;-0.01;-0.035;1.0;-0.015;-0.005;-0.034;0.624;-0.01;-0.035;1.0;0.042;0.023;0.018;0.031;0.008;0.006;-0.041;0.624;-0.008;-0.042;0.999;0.004
index__timesincelastevent_4;-0.003;-0.037;-0.014;-0.022;-0.036;-0.015;-0.074;-0.074;-0.037;-0.014;-0.022;-0.036;-0.015;-0.076;-0.09;-0.037;-0.014;-0.022;-0.036;-0.015;0.027;0.027;-0.041;-0.014;-0.02;-0.04;-0.015;1.0;0.065;-0.009;-0.014;-0.02;-0.008;-0.014;0.098;0.16;0.174;0.16;0.026;0.047;-0.054;-0.014;-0.02;-0.053;-0.015;0.01
index__timesincecasestart_4;-0.006;0.099;-0.01;0.155;0.099;-0.003;0.026;0.026;0.099;-0.01;0.155;0.099;-0.003;0.04;0.04;0.099;-0.01;0.155;0.099;-0.003;0.999;0.999;-0.22;-0.009;-0.108;-0.217;-0.005;0.065;1.0;-0.218;-0.009;-0.108;-0.215;-0.005;-0.052;-0.08;-0.093;-0.079;-0.03;0.325;-0.224;-0.009;-0.112;-0.222;-0.005;0.057
index__timesincemidnight_4;0.001;0.878;-0.023;-0.02;0.876;-0.036;0.047;0.047;0.878;-0.023;-0.02;0.876;-0.036;0.018;0.039;0.878;-0.023;-0.02;0.876;-0.036;-0.218;-0.218;1.0;-0.024;0.035;0.997;-0.034;-0.009;-0.218;1.0;-0.024;0.035;0.998;-0.034;-0.057;-0.089;-0.096;-0.089;-0.043;-0.117;0.956;-0.023;0.037;0.954;-0.035;-0.009
index__month_4;0.079;-0.027;1.0;-0.004;-0.028;0.624;0.456;0.456;-0.027;1.0;-0.004;-0.028;0.624;-0.091;0.218;-0.027;1.0;-0.004;-0.028;0.624;-0.008;-0.008;-0.023;1.0;-0.003;-0.024;0.624;-0.014;-0.009;-0.024;1.0;-0.003;-0.024;0.624;0.055;0.037;0.025;0.047;-0.004;-0.007;-0.028;1.0;-0.003;-0.028;0.624;0.016
index__weekday_4;0.011;0.006;-0.003;0.923;0.006;-0.01;0.037;0.037;0.006;-0.003;0.923;0.006;-0.01;0.046;0.05;0.006;-0.003;0.923;0.006;-0.01;-0.107;-0.107;0.035;-0.003;1.0;0.035;-0.01;-0.02;-0.108;0.035;-0.003;1.0;0.035;-0.01;-0.043;-0.068;-0.078;-0.067;-0.015;-0.053;0.031;-0.003;0.973;0.031;-0.011;-0.021
index__hour_4;0.001;0.876;-0.024;-0.02;0.877;-0.037;0.047;0.047;0.876;-0.024;-0.02;0.877;-0.037;0.018;0.039;0.876;-0.024;-0.02;0.877;-0.037;-0.216;-0.216;0.997;-0.024;0.035;0.999;-0.035;-0.008;-0.215;0.998;-0.024;0.035;1.0;-0.035;-0.056;-0.089;-0.096;-0.089;-0.043;-0.116;0.954;-0.024;0.037;0.956;-0.036;-0.009
index__open_cases_4;0.041;-0.031;0.624;-0.01;-0.032;1.0;0.094;0.094;-0.031;0.624;-0.01;-0.032;1.0;-0.039;0.033;-0.031;0.624;-0.01;-0.032;1.0;-0.005;-0.005;-0.034;0.624;-0.01;-0.035;1.0;-0.014;-0.005;-0.034;0.624;-0.01;-0.035;1.0;0.042;0.023;0.018;0.031;0.008;0.006;-0.041;0.624;-0.008;-0.042;0.999;0.004
index__FirstWithdrawalAmount_5;0.102;-0.077;0.055;-0.054;-0.076;0.042;-0.141;-0.141;-0.077;0.055;-0.054;-0.076;0.042;-0.151;-0.176;-0.077;0.055;-0.054;-0.076;0.042;-0.056;-0.056;-0.06;0.055;-0.043;-0.059;0.042;0.098;-0.052;-0.057;0.055;-0.043;-0.056;0.042;1.0;0.575;0.48;0.604;-0.05;-0.066;-0.056;0.054;-0.047;-0.056;0.042;-0.002
index__MonthlyCost_5;0.104;-0.12;0.037;-0.085;-0.119;0.023;-0.219;-0.219;-0.12;0.037;-0.085;-0.119;0.023;-0.234;-0.273;-0.12;0.037;-0.085;-0.119;0.023;-0.087;-0.087;-0.094;0.037;-0.068;-0.093;0.023;0.16;-0.08;-0.089;0.037;-0.068;-0.089;0.023;0.575;1.0;0.656;0.889;-0.078;-0.102;-0.089;0.037;-0.074;-0.088;0.023;-0.024
index__NumberOfTerms_5;-0.006;-0.132;0.025;-0.097;-0.131;0.017;-0.251;-0.251;-0.132;0.025;-0.097;-0.131;0.017;-0.268;-0.313;-0.132;0.025;-0.097;-0.131;0.017;-0.099;-0.099;-0.102;0.025;-0.078;-0.101;0.018;0.174;-0.093;-0.096;0.025;-0.078;-0.096;0.018;0.48;0.656;1.0;0.801;-0.09;-0.118;-0.096;0.024;-0.084;-0.096;0.017;-0.03
index__OfferedAmount_5;0.158;-0.12;0.047;-0.083;-0.119;0.03;-0.216;-0.216;-0.12;0.047;-0.083;-0.119;0.03;-0.231;-0.27;-0.12;0.047;-0.083;-0.119;0.03;-0.086;-0.086;-0.094;0.047;-0.067;-0.093;0.031;0.16;-0.079;-0.089;0.047;-0.067;-0.089;0.031;0.604;0.889;0.801;1.0;-0.077;-0.101;-0.088;0.046;-0.072;-0.088;0.03;-0.026
index__timesincelastevent_5;0.018;-0.053;-0.004;-0.022;-0.053;0.008;-0.085;-0.085;-0.053;-0.004;-0.022;-0.053;0.008;-0.087;-0.104;-0.053;-0.004;-0.022;-0.053;0.008;-0.031;-0.031;-0.043;-0.004;-0.015;-0.043;0.008;0.026;-0.03;-0.043;-0.004;-0.015;-0.043;0.008;-0.05;-0.078;-0.09;-0.077;1.0;0.936;-0.07;-0.003;-0.023;-0.069;0.015;-0.028
index__timesincecasestart_5;0.015;-0.015;-0.008;0.034;-0.015;0.007;-0.072;-0.072;-0.015;-0.008;0.034;-0.015;0.007;-0.068;-0.084;-0.015;-0.008;0.034;-0.015;0.007;0.323;0.323;-0.119;-0.007;-0.053;-0.118;0.006;0.047;0.325;-0.117;-0.007;-0.053;-0.116;0.006;-0.066;-0.102;-0.118;-0.101;0.936;1.0;-0.145;-0.006;-0.062;-0.144;0.013;-0.006
index__timesincemidnight_5;0.005;0.834;-0.027;-0.024;0.833;-0.043;0.041;0.041;0.834;-0.027;-0.024;0.833;-0.043;0.011;0.032;0.834;-0.027;-0.024;0.833;-0.043;-0.222;-0.222;0.957;-0.028;0.031;0.955;-0.041;-0.054;-0.224;0.956;-0.028;0.031;0.954;-0.041;-0.056;-0.089;-0.096;-0.088;-0.07;-0.145;1.0;-0.028;0.027;0.998;-0.042;-0.01
index__month_5;0.079;-0.027;0.999;-0.004;-0.028;0.624;0.456;0.456;-0.027;0.999;-0.004;-0.028;0.624;-0.091;0.218;-0.027;0.999;-0.004;-0.028;0.624;-0.008;-0.008;-0.023;1.0;-0.003;-0.024;0.624;-0.014;-0.009;-0.023;1.0;-0.003;-0.024;0.624;0.054;0.037;0.024;0.046;-0.003;-0.006;-0.028;1.0;-0.002;-0.028;0.624;0.016
index__weekday_5;0.017;0.008;-0.002;0.896;0.007;-0.008;0.032;0.032;0.008;-0.002;0.896;0.007;-0.008;0.04;0.043;0.008;-0.002;0.896;0.007;-0.008;-0.111;-0.111;0.038;-0.003;0.973;0.037;-0.008;-0.02;-0.112;0.037;-0.003;0.973;0.037;-0.008;-0.047;-0.074;-0.084;-0.072;-0.023;-0.062;0.027;-0.002;1.0;0.027;-0.009;-0.021
index__hour_5;0.005;0.833;-0.028;-0.024;0.834;-0.044;0.041;0.041;0.833;-0.028;-0.024;0.834;-0.044;0.012;0.032;0.833;-0.028;-0.024;0.834;-0.044;-0.22;-0.22;0.955;-0.028;0.031;0.956;-0.042;-0.053;-0.222;0.954;-0.028;0.031;0.956;-0.042;-0.056;-0.088;-0.096;-0.088;-0.069;-0.144;0.998;-0.028;0.027;1.0;-0.042;-0.011
index__open_cases_5;0.041;-0.032;0.623;-0.012;-0.033;0.999;0.094;0.094;-0.032;0.623;-0.012;-0.033;0.999;-0.039;0.032;-0.032;0.623;-0.012;-0.033;0.999;-0.005;-0.005;-0.034;0.624;-0.011;-0.035;0.999;-0.015;-0.005;-0.035;0.624;-0.011;-0.036;0.999;0.042;0.023;0.017;0.03;0.015;0.013;-0.042;0.624;-0.009;-0.042;1.0;0.003
encoded_label;-0.015;0.008;0.016;-0.011;0.007;0.004;0.028;0.028;0.008;0.016;-0.011;0.007;0.004;0.005;0.02;0.008;0.016;-0.011;0.007;0.004;0.057;0.057;-0.009;0.016;-0.021;-0.009;0.004;0.01;0.057;-0.009;0.016;-0.021;-0.009;0.004;-0.002;-0.024;-0.03;-0.026;-0.028;-0.006;-0.01;0.016;-0.021;-0.011;0.003;1.0
