;static__case:RequestedAmount;index__timesincemidnight_0;index__month_0;index__weekday_0;index__hour_0;index__open_cases_0;index__timesincelastevent_1;index__timesincecasestart_1;index__timesincemidnight_1;index__month_1;index__weekday_1;index__hour_1;index__open_cases_1;index__timesincelastevent_2;index__timesincecasestart_2;index__timesincemidnight_2;index__month_2;index__weekday_2;index__hour_2;index__open_cases_2;index__timesincelastevent_3;index__timesincecasestart_3;index__timesincemidnight_3;index__month_3;index__weekday_3;index__hour_3;index__open_cases_3;index__timesincelastevent_4;index__timesincecasestart_4;index__timesincemidnight_4;index__month_4;index__weekday_4;index__hour_4;index__open_cases_4;index__FirstWithdrawalAmount_5;index__MonthlyCost_5;index__NumberOfTerms_5;index__OfferedAmount_5;index__timesincelastevent_5;index__timesincecasestart_5;index__timesincemidnight_5;index__month_5;index__weekday_5;index__hour_5;index__open_cases_5;index__FirstWithdrawalAmount_6;index__MonthlyCost_6;index__NumberOfTerms_6;index__OfferedAmount_6;index__timesincelastevent_6;index__timesincecasestart_6;index__timesincemidnight_6;index__month_6;index__weekday_6;index__hour_6;index__open_cases_6;index__FirstWithdrawalAmount_7;index__MonthlyCost_7;index__NumberOfTerms_7;index__OfferedAmount_7;index__timesincelastevent_7;index__timesincecasestart_7;index__timesincemidnight_7;index__month_7;index__weekday_7;index__hour_7;index__open_cases_7;index__FirstWithdrawalAmount_8;index__MonthlyCost_8;index__NumberOfTerms_8;index__OfferedAmount_8;index__timesincelastevent_8;index__timesincecasestart_8;index__timesincemidnight_8;index__month_8;index__weekday_8;index__hour_8;index__open_cases_8;index__FirstWithdrawalAmount_9;index__MonthlyCost_9;index__NumberOfTerms_9;index__OfferedAmount_9;index__timesincelastevent_9;index__timesincecasestart_9;index__timesincemidnight_9;index__month_9;index__weekday_9;index__hour_9;index__open_cases_9;index__FirstWithdrawalAmount_10;index__MonthlyCost_10;index__NumberOfTerms_10;index__OfferedAmount_10;index__timesincelastevent_10;index__timesincecasestart_10;index__timesincemidnight_10;index__month_10;index__weekday_10;index__hour_10;index__open_cases_10;index__FirstWithdrawalAmount_11;index__MonthlyCost_11;index__NumberOfTerms_11;index__OfferedAmount_11;index__timesincelastevent_11;index__timesincecasestart_11;index__timesincemidnight_11;index__month_11;index__weekday_11;index__hour_11;index__open_cases_11;index__FirstWithdrawalAmount_12;index__MonthlyCost_12;index__NumberOfTerms_12;index__OfferedAmount_12;index__timesincelastevent_12;index__timesincecasestart_12;index__timesincemidnight_12;index__month_12;index__weekday_12;index__hour_12;index__open_cases_12;index__FirstWithdrawalAmount_13;index__MonthlyCost_13;index__NumberOfTerms_13;index__OfferedAmount_13;index__timesincelastevent_13;index__timesincecasestart_13;index__timesincemidnight_13;index__month_13;index__weekday_13;index__hour_13;index__open_cases_13;index__FirstWithdrawalAmount_14;index__MonthlyCost_14;index__NumberOfTerms_14;index__OfferedAmount_14;index__timesincelastevent_14;index__timesincecasestart_14;index__timesincemidnight_14;index__month_14;index__weekday_14;index__hour_14;index__open_cases_14;index__FirstWithdrawalAmount_15;index__MonthlyCost_15;index__NumberOfTerms_15;index__OfferedAmount_15;index__timesincelastevent_15;index__timesincecasestart_15;index__timesincemidnight_15;index__month_15;index__weekday_15;index__hour_15;index__open_cases_15;encoded_label
index__weekday_1;0.009;0.007;-0.003;1.0;0.006;-0.008;0.041;0.041;0.007;-0.003;1.0;0.006;-0.008;0.05;0.055;0.007;-0.003;1.0;0.006;-0.008;0.155;0.155;-0.021;-0.003;0.923;-0.021;-0.009;-0.022;0.154;-0.022;-0.003;0.923;-0.021;-0.009;-0.053;-0.084;-0.095;-0.082;-0.024;0.032;-0.026;-0.003;0.896;-0.025;-0.01;-0.056;-0.092;-0.104;-0.09;0.189;0.198;-0.112;-0.006;0.29;-0.112;-0.014;-0.031;-0.083;-0.098;-0.084;-0.009;0.185;-0.112;-0.006;0.282;-0.112;-0.014;-0.002;-0.054;-0.076;-0.063;0.026;0.152;-0.088;-0.008;0.242;-0.088;-0.012;0.016;-0.035;-0.063;-0.047;0.013;0.149;-0.063;-0.008;0.218;-0.063;-0.012;0.023;-0.029;-0.059;-0.042;0.009;0.123;-0.056;-0.008;0.211;-0.056;-0.011;0.026;-0.021;-0.051;-0.035;0.007;0.119;-0.047;-0.009;0.199;-0.046;-0.011;0.029;-0.016;-0.045;-0.03;0.002;0.107;-0.042;-0.008;0.198;-0.042;-0.01;0.032;-0.012;-0.041;-0.026;-0.08;0.033;-0.023;-0.013;-0.075;-0.023;-0.008;0.032;-0.009;-0.041;-0.024;-0.029;0.021;-0.019;-0.013;-0.098;-0.019;-0.008;0.034;-0.008;-0.042;-0.024;-0.048;-0.031;-0.003;-0.012;-0.038;-0.005;-0.01;-0.012
index__hour_1;-0.001;0.998;-0.026;0.006;1.0;-0.03;0.051;0.051;0.998;-0.026;0.006;1.0;-0.03;0.029;0.048;0.998;-0.026;0.006;1.0;-0.03;0.1;0.1;0.876;-0.026;0.004;0.878;-0.03;-0.036;0.099;0.875;-0.026;0.004;0.877;-0.03;-0.074;-0.117;-0.129;-0.117;-0.053;-0.016;0.831;-0.026;0.005;0.833;-0.031;-0.079;-0.128;-0.142;-0.128;0.139;0.129;0.207;-0.024;0.009;0.207;-0.039;-0.055;-0.119;-0.138;-0.123;-0.021;0.116;0.203;-0.024;0.01;0.203;-0.039;-0.02;-0.092;-0.114;-0.105;0.019;0.096;0.229;-0.024;0.011;0.229;-0.039;0.005;-0.065;-0.088;-0.083;0.026;0.101;0.241;-0.025;0.016;0.241;-0.039;0.019;-0.058;-0.078;-0.077;0.008;0.084;0.25;-0.025;0.016;0.249;-0.039;0.031;-0.046;-0.065;-0.067;0.007;0.082;0.244;-0.024;0.016;0.243;-0.039;0.036;-0.038;-0.06;-0.063;0.003;0.074;0.245;-0.024;0.016;0.244;-0.039;0.037;-0.034;-0.056;-0.061;-0.099;-0.01;0.147;-0.025;0.022;0.146;-0.041;0.039;-0.032;-0.055;-0.06;-0.031;-0.02;0.143;-0.026;0.019;0.142;-0.041;0.042;-0.029;-0.05;-0.057;-0.059;-0.058;0.121;-0.028;0.011;0.121;-0.042;0.005
index__open_cases_1;0.041;-0.029;0.619;-0.008;-0.03;1.0;0.093;0.093;-0.029;0.619;-0.008;-0.03;1.0;-0.034;0.035;-0.029;0.619;-0.008;-0.03;1.0;-0.002;-0.002;-0.034;0.619;-0.008;-0.035;1.0;-0.016;-0.003;-0.035;0.619;-0.008;-0.036;1.0;0.038;0.016;0.009;0.024;0.009;0.007;-0.042;0.62;-0.006;-0.043;0.999;0.037;0.018;0.011;0.026;0.074;0.075;-0.063;0.622;0.012;-0.063;0.992;0.069;0.046;0.036;0.05;-0.001;0.071;-0.063;0.622;0.011;-0.063;0.992;0.082;0.059;0.044;0.061;0.019;0.063;-0.063;0.623;0.011;-0.064;0.989;0.089;0.064;0.044;0.067;0.019;0.067;-0.065;0.623;0.011;-0.065;0.988;0.089;0.066;0.046;0.071;-0.008;0.049;-0.07;0.624;0.014;-0.07;0.986;0.088;0.063;0.042;0.069;0.012;0.05;-0.072;0.624;0.01;-0.072;0.985;0.088;0.063;0.04;0.069;-0.021;0.038;-0.076;0.624;0.01;-0.076;0.984;0.085;0.057;0.032;0.063;0.014;0.044;-0.032;0.63;0.006;-0.033;0.975;0.083;0.055;0.028;0.062;-0.0;0.041;-0.03;0.63;0.003;-0.03;0.973;0.08;0.053;0.026;0.061;-0.003;0.015;-0.036;0.635;-0.003;-0.036;0.942;0.006
index__timesincelastevent_2;0.027;0.029;-0.087;0.05;0.029;-0.034;0.376;0.376;0.029;-0.087;0.05;0.029;-0.034;1.0;0.833;0.029;-0.087;0.05;0.029;-0.034;0.043;0.043;0.019;-0.087;0.045;0.019;-0.034;-0.075;0.04;0.017;-0.087;0.045;0.017;-0.034;-0.15;-0.232;-0.265;-0.229;-0.087;-0.069;0.01;-0.087;0.039;0.01;-0.035;-0.156;-0.245;-0.282;-0.243;0.164;0.131;-0.021;-0.086;0.011;-0.021;-0.033;-0.118;-0.218;-0.26;-0.222;-0.025;0.117;-0.018;-0.086;0.012;-0.018;-0.033;-0.056;-0.155;-0.203;-0.172;0.044;0.112;-0.012;-0.086;0.007;-0.012;-0.032;-0.025;-0.118;-0.167;-0.138;0.035;0.119;0.001;-0.086;0.012;0.001;-0.032;-0.005;-0.095;-0.147;-0.118;0.035;0.112;-0.005;-0.085;-0.004;-0.005;-0.031;0.008;-0.066;-0.122;-0.092;0.03;0.115;-0.003;-0.085;-0.003;-0.004;-0.031;0.016;-0.054;-0.11;-0.08;0.023;0.11;-0.007;-0.085;-0.003;-0.008;-0.03;0.023;-0.042;-0.099;-0.069;-0.213;-0.064;0.059;-0.085;-0.01;0.058;-0.035;0.028;-0.033;-0.089;-0.061;-0.046;-0.076;0.067;-0.086;-0.01;0.066;-0.035;0.031;-0.026;-0.082;-0.054;-0.143;-0.152;0.083;-0.085;-0.02;0.081;-0.032;0.005
index__timesincecasestart_2;0.042;0.048;0.22;0.055;0.048;0.035;0.826;0.826;0.048;0.22;0.055;0.048;0.035;0.833;1.0;0.048;0.22;0.055;0.048;0.035;0.041;0.041;0.04;0.22;0.049;0.04;0.034;-0.088;0.038;0.038;0.22;0.049;0.038;0.034;-0.174;-0.269;-0.308;-0.266;-0.104;-0.085;0.03;0.22;0.043;0.03;0.033;-0.181;-0.285;-0.328;-0.283;0.143;0.104;0.005;0.217;0.017;0.005;0.028;-0.142;-0.259;-0.31;-0.263;-0.031;0.089;0.008;0.216;0.018;0.007;0.028;-0.054;-0.174;-0.235;-0.195;0.051;0.095;0.014;0.215;0.014;0.014;0.027;-0.008;-0.127;-0.189;-0.15;0.035;0.104;0.028;0.215;0.017;0.027;0.026;0.02;-0.097;-0.165;-0.124;0.029;0.096;0.021;0.215;0.003;0.021;0.026;0.039;-0.063;-0.133;-0.096;0.028;0.1;0.022;0.215;0.004;0.022;0.026;0.047;-0.051;-0.119;-0.083;0.02;0.096;0.015;0.214;0.002;0.014;0.025;0.056;-0.037;-0.106;-0.071;-0.248;-0.103;0.09;0.214;-0.006;0.089;0.021;0.062;-0.027;-0.097;-0.062;-0.056;-0.116;0.099;0.213;-0.007;0.099;0.02;0.067;-0.018;-0.088;-0.054;-0.17;-0.192;0.116;0.213;-0.018;0.114;0.021;0.019
index__timesincemidnight_2;-0.001;1.0;-0.026;0.007;0.998;-0.029;0.051;0.051;1.0;-0.026;0.007;0.998;-0.029;0.029;0.048;1.0;-0.026;0.007;0.998;-0.029;0.101;0.101;0.877;-0.025;0.004;0.876;-0.03;-0.036;0.099;0.877;-0.025;0.004;0.875;-0.03;-0.075;-0.119;-0.13;-0.118;-0.053;-0.016;0.833;-0.025;0.005;0.832;-0.031;-0.08;-0.129;-0.143;-0.129;0.139;0.129;0.208;-0.024;0.009;0.208;-0.038;-0.056;-0.12;-0.139;-0.124;-0.021;0.116;0.204;-0.024;0.01;0.204;-0.038;-0.02;-0.092;-0.115;-0.106;0.019;0.097;0.23;-0.024;0.011;0.229;-0.038;0.005;-0.066;-0.089;-0.084;0.027;0.102;0.242;-0.024;0.016;0.242;-0.038;0.019;-0.058;-0.079;-0.077;0.008;0.085;0.251;-0.024;0.016;0.25;-0.038;0.031;-0.046;-0.066;-0.067;0.008;0.083;0.245;-0.024;0.016;0.244;-0.038;0.036;-0.038;-0.061;-0.063;0.002;0.075;0.246;-0.024;0.016;0.245;-0.038;0.037;-0.033;-0.056;-0.061;-0.1;-0.01;0.147;-0.025;0.021;0.147;-0.04;0.039;-0.032;-0.055;-0.06;-0.032;-0.02;0.144;-0.025;0.018;0.143;-0.04;0.042;-0.029;-0.05;-0.057;-0.059;-0.058;0.121;-0.027;0.011;0.121;-0.041;0.005
index__month_2;0.079;-0.026;1.0;-0.003;-0.026;0.619;0.458;0.458;-0.026;1.0;-0.003;-0.026;0.619;-0.087;0.22;-0.026;1.0;-0.003;-0.026;0.619;-0.01;-0.01;-0.021;1.0;-0.001;-0.021;0.619;-0.015;-0.011;-0.021;1.0;-0.001;-0.022;0.619;0.051;0.031;0.017;0.041;-0.004;-0.007;-0.025;0.999;-0.001;-0.026;0.619;0.052;0.031;0.016;0.04;0.004;0.001;-0.012;0.993;0.012;-0.012;0.613;0.067;0.044;0.026;0.051;-0.003;-0.0;-0.013;0.993;0.011;-0.013;0.613;0.091;0.061;0.034;0.068;0.012;0.007;-0.016;0.991;0.012;-0.016;0.611;0.103;0.071;0.042;0.08;-0.001;0.006;-0.02;0.99;0.01;-0.02;0.61;0.108;0.075;0.045;0.087;-0.014;-0.002;-0.026;0.989;0.013;-0.026;0.608;0.11;0.075;0.044;0.088;-0.0;-0.002;-0.028;0.989;0.011;-0.028;0.608;0.11;0.077;0.046;0.09;-0.015;-0.006;-0.031;0.987;0.009;-0.031;0.607;0.11;0.075;0.041;0.088;0.0;-0.006;-0.036;0.975;0.024;-0.037;0.599;0.109;0.073;0.038;0.087;-0.007;-0.008;-0.036;0.974;0.024;-0.036;0.598;0.109;0.073;0.037;0.088;0.001;-0.003;-0.01;0.948;0.007;-0.009;0.557;0.017
index__weekday_2;0.009;0.007;-0.003;1.0;0.006;-0.008;0.041;0.041;0.007;-0.003;1.0;0.006;-0.008;0.05;0.055;0.007;-0.003;1.0;0.006;-0.008;0.155;0.155;-0.021;-0.003;0.923;-0.021;-0.009;-0.022;0.154;-0.022;-0.003;0.923;-0.021;-0.009;-0.053;-0.084;-0.095;-0.082;-0.024;0.032;-0.026;-0.003;0.896;-0.025;-0.01;-0.056;-0.092;-0.104;-0.09;0.189;0.198;-0.112;-0.006;0.29;-0.112;-0.014;-0.031;-0.083;-0.098;-0.084;-0.009;0.185;-0.112;-0.006;0.282;-0.112;-0.014;-0.002;-0.054;-0.076;-0.063;0.026;0.152;-0.088;-0.008;0.242;-0.088;-0.012;0.016;-0.035;-0.063;-0.047;0.013;0.149;-0.063;-0.008;0.218;-0.063;-0.012;0.023;-0.029;-0.059;-0.042;0.009;0.123;-0.056;-0.008;0.211;-0.056;-0.011;0.026;-0.021;-0.051;-0.035;0.007;0.119;-0.047;-0.009;0.199;-0.046;-0.011;0.029;-0.016;-0.045;-0.03;0.002;0.107;-0.042;-0.008;0.198;-0.042;-0.01;0.032;-0.012;-0.041;-0.026;-0.08;0.033;-0.023;-0.013;-0.075;-0.023;-0.008;0.032;-0.009;-0.041;-0.024;-0.029;0.021;-0.019;-0.013;-0.098;-0.019;-0.008;0.034;-0.008;-0.042;-0.024;-0.048;-0.031;-0.003;-0.012;-0.038;-0.005;-0.01;-0.012
index__hour_2;-0.001;0.998;-0.026;0.006;1.0;-0.03;0.051;0.051;0.998;-0.026;0.006;1.0;-0.03;0.029;0.048;0.998;-0.026;0.006;1.0;-0.03;0.1;0.1;0.876;-0.026;0.004;0.878;-0.03;-0.036;0.099;0.875;-0.026;0.004;0.877;-0.03;-0.074;-0.117;-0.129;-0.117;-0.053;-0.016;0.831;-0.026;0.005;0.833;-0.031;-0.079;-0.128;-0.142;-0.128;0.139;0.129;0.207;-0.024;0.009;0.207;-0.039;-0.055;-0.119;-0.138;-0.123;-0.021;0.116;0.203;-0.024;0.01;0.203;-0.039;-0.02;-0.092;-0.114;-0.105;0.019;0.096;0.229;-0.024;0.011;0.229;-0.039;0.005;-0.065;-0.088;-0.083;0.026;0.101;0.241;-0.025;0.016;0.241;-0.039;0.019;-0.058;-0.078;-0.077;0.008;0.084;0.25;-0.025;0.016;0.249;-0.039;0.031;-0.046;-0.065;-0.067;0.007;0.082;0.244;-0.024;0.016;0.243;-0.039;0.036;-0.038;-0.06;-0.063;0.003;0.074;0.245;-0.024;0.016;0.244;-0.039;0.037;-0.034;-0.056;-0.061;-0.099;-0.01;0.147;-0.025;0.022;0.146;-0.041;0.039;-0.032;-0.055;-0.06;-0.031;-0.02;0.143;-0.026;0.019;0.142;-0.041;0.042;-0.029;-0.05;-0.057;-0.059;-0.058;0.121;-0.028;0.011;0.121;-0.042;0.005
index__open_cases_2;0.041;-0.029;0.619;-0.008;-0.03;1.0;0.093;0.093;-0.029;0.619;-0.008;-0.03;1.0;-0.034;0.035;-0.029;0.619;-0.008;-0.03;1.0;-0.002;-0.002;-0.034;0.619;-0.008;-0.035;1.0;-0.016;-0.003;-0.035;0.619;-0.008;-0.036;1.0;0.038;0.016;0.009;0.024;0.009;0.007;-0.042;0.62;-0.006;-0.043;0.999;0.037;0.018;0.011;0.026;0.074;0.075;-0.063;0.622;0.012;-0.063;0.992;0.069;0.046;0.036;0.05;-0.001;0.071;-0.063;0.622;0.011;-0.063;0.992;0.082;0.059;0.044;0.061;0.019;0.063;-0.063;0.623;0.011;-0.064;0.989;0.089;0.064;0.044;0.067;0.019;0.067;-0.065;0.623;0.011;-0.065;0.988;0.089;0.066;0.046;0.071;-0.008;0.049;-0.07;0.624;0.014;-0.07;0.986;0.088;0.063;0.042;0.069;0.012;0.05;-0.072;0.624;0.01;-0.072;0.985;0.088;0.063;0.04;0.069;-0.021;0.038;-0.076;0.624;0.01;-0.076;0.984;0.085;0.057;0.032;0.063;0.014;0.044;-0.032;0.63;0.006;-0.033;0.975;0.083;0.055;0.028;0.062;-0.0;0.041;-0.03;0.63;0.003;-0.03;0.973;0.08;0.053;0.026;0.061;-0.003;0.015;-0.036;0.635;-0.003;-0.036;0.942;0.006
index__timesincelastevent_3;-0.006;0.101;-0.01;0.155;0.1;-0.002;0.026;0.026;0.101;-0.01;0.155;0.1;-0.002;0.043;0.041;0.101;-0.01;0.155;0.1;-0.002;1.0;1.0;-0.219;-0.009;-0.107;-0.217;-0.004;0.027;0.999;-0.218;-0.009;-0.107;-0.216;-0.005;-0.055;-0.086;-0.098;-0.085;-0.032;0.322;-0.223;-0.009;-0.111;-0.221;-0.005;-0.058;-0.091;-0.105;-0.09;-0.127;0.012;-0.23;-0.009;-0.095;-0.228;-0.005;-0.068;-0.107;-0.124;-0.106;-0.017;0.006;-0.233;-0.009;-0.095;-0.231;-0.005;-0.09;-0.141;-0.169;-0.138;-0.046;-0.022;-0.236;-0.009;-0.094;-0.234;-0.006;-0.106;-0.169;-0.21;-0.163;0.232;0.064;-0.05;-0.009;-0.067;-0.05;-0.004;-0.099;-0.164;-0.21;-0.159;-0.024;0.039;-0.049;-0.009;-0.066;-0.048;-0.004;-0.086;-0.141;-0.183;-0.137;0.132;0.076;-0.02;-0.009;-0.059;-0.019;-0.002;-0.072;-0.106;-0.146;-0.106;-0.011;0.065;-0.02;-0.009;-0.057;-0.02;-0.002;-0.062;-0.084;-0.119;-0.086;-0.051;0.019;0.014;-0.009;-0.059;0.014;-0.003;-0.055;-0.065;-0.095;-0.068;-0.019;0.011;0.018;-0.009;-0.058;0.018;-0.003;-0.051;-0.058;-0.081;-0.061;-0.061;-0.046;0.036;-0.009;-0.06;0.035;-0.003;0.057
index__timesincecasestart_3;-0.006;0.101;-0.01;0.155;0.1;-0.002;0.026;0.026;0.101;-0.01;0.155;0.1;-0.002;0.043;0.041;0.101;-0.01;0.155;0.1;-0.002;1.0;1.0;-0.219;-0.009;-0.107;-0.217;-0.004;0.027;0.999;-0.218;-0.009;-0.107;-0.216;-0.005;-0.055;-0.086;-0.098;-0.085;-0.032;0.322;-0.223;-0.009;-0.111;-0.221;-0.005;-0.058;-0.091;-0.105;-0.09;-0.127;0.012;-0.23;-0.009;-0.095;-0.228;-0.005;-0.068;-0.107;-0.124;-0.106;-0.017;0.007;-0.233;-0.009;-0.095;-0.231;-0.005;-0.09;-0.141;-0.169;-0.138;-0.046;-0.022;-0.236;-0.009;-0.094;-0.234;-0.006;-0.106;-0.169;-0.21;-0.163;0.232;0.064;-0.05;-0.009;-0.067;-0.05;-0.004;-0.099;-0.164;-0.21;-0.159;-0.024;0.039;-0.049;-0.009;-0.066;-0.048;-0.004;-0.086;-0.141;-0.183;-0.137;0.132;0.076;-0.02;-0.009;-0.059;-0.019;-0.002;-0.072;-0.106;-0.146;-0.106;-0.011;0.065;-0.02;-0.009;-0.057;-0.02;-0.002;-0.062;-0.084;-0.119;-0.086;-0.051;0.019;0.014;-0.009;-0.059;0.014;-0.003;-0.055;-0.065;-0.095;-0.068;-0.019;0.011;0.018;-0.009;-0.058;0.018;-0.003;-0.051;-0.058;-0.081;-0.061;-0.061;-0.046;0.036;-0.009;-0.06;0.035;-0.003;0.057
index__timesincemidnight_3;0.002;0.877;-0.021;-0.021;0.876;-0.034;0.048;0.048;0.877;-0.021;-0.021;0.876;-0.034;0.019;0.04;0.877;-0.021;-0.021;0.876;-0.034;-0.219;-0.219;1.0;-0.021;0.033;0.998;-0.032;-0.04;-0.22;0.999;-0.021;0.033;0.997;-0.032;-0.058;-0.093;-0.1;-0.092;-0.043;-0.119;0.956;-0.021;0.035;0.954;-0.033;-0.062;-0.102;-0.112;-0.101;0.185;0.13;0.336;-0.019;0.033;0.336;-0.041;-0.034;-0.087;-0.1;-0.091;-0.015;0.119;0.333;-0.02;0.033;0.333;-0.041;0.009;-0.047;-0.06;-0.061;0.035;0.108;0.36;-0.019;0.034;0.359;-0.041;0.041;-0.01;-0.02;-0.03;-0.051;0.084;0.265;-0.019;0.031;0.265;-0.041;0.053;-0.004;-0.01;-0.025;0.017;0.075;0.274;-0.019;0.03;0.272;-0.041;0.059;-0.003;-0.008;-0.025;-0.033;0.061;0.255;-0.02;0.029;0.254;-0.041;0.059;-0.006;-0.014;-0.03;0.007;0.057;0.256;-0.02;0.028;0.255;-0.041;0.058;-0.008;-0.019;-0.034;-0.087;-0.015;0.143;-0.021;0.033;0.142;-0.043;0.057;-0.013;-0.028;-0.039;-0.027;-0.024;0.139;-0.021;0.031;0.138;-0.043;0.059;-0.012;-0.028;-0.039;-0.04;-0.043;0.11;-0.024;0.022;0.11;-0.043;-0.012
index__month_3;0.079;-0.025;1.0;-0.003;-0.026;0.619;0.458;0.458;-0.025;1.0;-0.003;-0.026;0.619;-0.087;0.22;-0.025;1.0;-0.003;-0.026;0.619;-0.009;-0.009;-0.021;1.0;-0.001;-0.022;0.619;-0.015;-0.009;-0.021;1.0;-0.001;-0.022;0.619;0.05;0.031;0.017;0.04;-0.004;-0.007;-0.026;1.0;-0.001;-0.026;0.619;0.052;0.031;0.016;0.04;0.004;0.001;-0.013;0.993;0.012;-0.013;0.613;0.067;0.044;0.026;0.05;-0.003;-0.0;-0.013;0.993;0.011;-0.014;0.613;0.09;0.061;0.034;0.067;0.012;0.007;-0.016;0.991;0.012;-0.016;0.611;0.103;0.07;0.041;0.08;-0.001;0.006;-0.02;0.99;0.009;-0.02;0.61;0.108;0.075;0.044;0.087;-0.014;-0.002;-0.026;0.989;0.013;-0.026;0.609;0.11;0.075;0.044;0.088;-0.0;-0.002;-0.028;0.989;0.011;-0.028;0.608;0.11;0.077;0.046;0.09;-0.015;-0.006;-0.031;0.987;0.009;-0.031;0.607;0.11;0.075;0.041;0.088;-0.0;-0.006;-0.037;0.975;0.024;-0.037;0.599;0.109;0.073;0.038;0.087;-0.008;-0.008;-0.037;0.974;0.024;-0.037;0.598;0.109;0.074;0.037;0.088;0.001;-0.003;-0.01;0.948;0.007;-0.01;0.557;0.017
index__weekday_3;0.01;0.004;-0.001;0.923;0.004;-0.008;0.037;0.037;0.004;-0.001;0.923;0.004;-0.008;0.045;0.049;0.004;-0.001;0.923;0.004;-0.008;-0.107;-0.107;0.033;-0.001;1.0;0.033;-0.008;-0.02;-0.107;0.032;-0.001;1.0;0.033;-0.008;-0.043;-0.068;-0.076;-0.066;-0.018;-0.054;0.028;-0.002;0.973;0.029;-0.009;-0.045;-0.075;-0.084;-0.073;0.218;0.19;-0.055;-0.005;0.36;-0.055;-0.013;-0.018;-0.062;-0.074;-0.064;-0.005;0.178;-0.055;-0.005;0.352;-0.055;-0.013;0.017;-0.026;-0.042;-0.036;0.036;0.153;-0.029;-0.006;0.312;-0.029;-0.01;0.039;-0.001;-0.021;-0.014;-0.028;0.135;-0.05;-0.006;0.272;-0.05;-0.011;0.044;0.005;-0.017;-0.01;0.014;0.114;-0.043;-0.006;0.264;-0.043;-0.01;0.045;0.008;-0.015;-0.007;-0.012;0.105;-0.042;-0.007;0.244;-0.042;-0.01;0.045;0.005;-0.018;-0.009;0.004;0.095;-0.038;-0.007;0.242;-0.038;-0.01;0.045;0.003;-0.021;-0.012;-0.071;0.03;-0.026;-0.012;-0.039;-0.026;-0.007;0.045;0.003;-0.026;-0.013;-0.024;0.02;-0.022;-0.012;-0.062;-0.023;-0.006;0.047;0.003;-0.027;-0.012;-0.036;-0.021;-0.011;-0.01;-0.002;-0.012;-0.009;-0.022
index__hour_3;0.002;0.876;-0.021;-0.021;0.878;-0.035;0.048;0.048;0.876;-0.021;-0.021;0.878;-0.035;0.019;0.04;0.876;-0.021;-0.021;0.878;-0.035;-0.217;-0.217;0.998;-0.022;0.033;1.0;-0.033;-0.04;-0.218;0.997;-0.022;0.033;0.999;-0.033;-0.057;-0.092;-0.099;-0.091;-0.044;-0.118;0.954;-0.022;0.035;0.956;-0.034;-0.062;-0.101;-0.111;-0.101;0.184;0.13;0.334;-0.02;0.033;0.335;-0.042;-0.034;-0.086;-0.1;-0.091;-0.015;0.118;0.332;-0.02;0.033;0.332;-0.042;0.009;-0.047;-0.06;-0.062;0.035;0.108;0.359;-0.02;0.034;0.359;-0.042;0.041;-0.01;-0.019;-0.03;-0.052;0.083;0.264;-0.02;0.031;0.264;-0.042;0.053;-0.004;-0.01;-0.025;0.016;0.074;0.272;-0.02;0.03;0.271;-0.042;0.059;-0.003;-0.008;-0.025;-0.034;0.061;0.254;-0.02;0.028;0.253;-0.042;0.059;-0.005;-0.014;-0.03;0.008;0.057;0.255;-0.021;0.028;0.254;-0.042;0.058;-0.008;-0.019;-0.034;-0.086;-0.015;0.142;-0.022;0.034;0.142;-0.044;0.057;-0.013;-0.027;-0.039;-0.026;-0.023;0.138;-0.022;0.031;0.138;-0.044;0.058;-0.013;-0.028;-0.039;-0.04;-0.043;0.11;-0.024;0.022;0.11;-0.044;-0.012
index__open_cases_3;0.041;-0.03;0.619;-0.009;-0.03;1.0;0.092;0.092;-0.03;0.619;-0.009;-0.03;1.0;-0.034;0.034;-0.03;0.619;-0.009;-0.03;1.0;-0.004;-0.004;-0.032;0.619;-0.008;-0.033;1.0;-0.016;-0.005;-0.033;0.619;-0.008;-0.034;1.0;0.038;0.016;0.01;0.024;0.009;0.007;-0.04;0.62;-0.006;-0.041;0.999;0.038;0.018;0.011;0.026;0.075;0.076;-0.061;0.622;0.012;-0.061;0.992;0.069;0.047;0.036;0.05;-0.001;0.071;-0.061;0.623;0.011;-0.062;0.992;0.083;0.06;0.044;0.062;0.019;0.064;-0.061;0.623;0.011;-0.062;0.99;0.089;0.064;0.045;0.067;0.018;0.067;-0.065;0.624;0.011;-0.065;0.988;0.09;0.066;0.047;0.071;-0.008;0.049;-0.07;0.624;0.014;-0.07;0.987;0.088;0.063;0.043;0.07;0.011;0.05;-0.072;0.624;0.01;-0.073;0.986;0.088;0.064;0.041;0.069;-0.021;0.038;-0.076;0.624;0.011;-0.076;0.985;0.085;0.058;0.032;0.064;0.014;0.044;-0.032;0.63;0.006;-0.033;0.975;0.083;0.055;0.029;0.063;-0.0;0.041;-0.031;0.63;0.003;-0.031;0.974;0.08;0.053;0.027;0.062;-0.003;0.016;-0.037;0.635;-0.003;-0.037;0.942;0.005
