;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__concept:name_1_CRP;index__concept:name_1_ER Registration;index__concept:name_1_ER Sepsis Triage;index__concept:name_1_ER Triage;index__concept:name_1_IV Antibiotics;index__concept:name_1_IV Liquid;index__concept:name_1_LacticAcid;index__concept:name_1_Leucocytes;index__concept:name_2_CRP;index__concept:name_2_ER Registration;index__concept:name_2_ER Sepsis Triage;index__concept:name_2_ER Triage;index__concept:name_2_IV Antibiotics;index__concept:name_2_IV Liquid;index__concept:name_2_LacticAcid;index__concept:name_2_Leucocytes;index__concept:name_3_CRP;index__concept:name_3_ER Registration;index__concept:name_3_ER Sepsis Triage;index__concept:name_3_ER Triage;index__concept:name_3_IV Antibiotics;index__concept:name_3_IV Liquid;index__concept:name_3_LacticAcid;index__concept:name_3_Leucocytes;index__concept:name_4_Admission NC;index__concept:name_4_CRP;index__concept:name_4_ER Sepsis Triage;index__concept:name_4_ER Triage;index__concept:name_4_IV Antibiotics;index__concept:name_4_IV Liquid;index__concept:name_4_LacticAcid;index__concept:name_4_Leucocytes;index__concept:name_5_Admission IC;index__concept:name_5_Admission NC;index__concept:name_5_CRP;index__concept:name_5_ER Sepsis Triage;index__concept:name_5_ER Triage;index__concept:name_5_IV Antibiotics;index__concept:name_5_IV Liquid;index__concept:name_5_LacticAcid;index__concept:name_5_Leucocytes;index__concept:name_5_Release A;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;index__org:group_1_A;index__org:group_1_B;index__org:group_1_C;index__org:group_1_L;index__org:group_2_A;index__org:group_2_B;index__org:group_2_C;index__org:group_2_L;index__org:group_3_A;index__org:group_3_B;index__org:group_3_C;index__org:group_3_L;index__org:group_4_A;index__org:group_4_B;index__org:group_4_C;index__org:group_4_F;index__org:group_4_H;index__org:group_4_L;index__org:group_4_S;index__org:group_4_T;index__org:group_4_V;index__org:group_5_A;index__org:group_5_B;index__org:group_5_C;index__org:group_5_D;index__org:group_5_E;index__org:group_5_F;index__org:group_5_G;index__org:group_5_H;index__org:group_5_J;index__org:group_5_K;index__org:group_5_L;index__org:group_5_M;index__org:group_5_O;index__org:group_5_P;index__org:group_5_Q;index__org:group_5_R;index__org:group_5_S;index__org:group_5_T;index__org:group_5_U;index__org:group_5_V;index__org:group_5_W;encoded_label
static__DiagnosticXthorax_other;-0.025;-0.072;-0.041;-0.051;0.066;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.154;1.0;-0.093;-0.509;1.0;-0.114;-0.434;1.0;-0.085;-0.547;1.0;-0.1;-0.483;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.234;1.0;-0.207;-0.253;1.0;-0.108;-0.455;1.0;-0.656;-0.064;1.0;-0.669;-0.062;1.0;-0.86;-0.033;1.0;-0.084;-0.55;1.0;-0.099;-0.487;1.0;-0.815;-0.04;1.0;-0.105;-0.466;1.0;-0.714;-0.054;1.0;-0.174;-0.299;1.0;-0.104;-0.468;1.0;-0.082;-0.558;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.019;0.738;-0.023;-0.63;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.396;0.452;-0.012;0.036;-0.015;0.061;-0.234;0.21;0.416;0.515;-0.045;-0.061;-0.077;-0.036;-0.025;0.07;0.415;0.01;0.072;0.084;-0.198;-0.093;-0.02;0.008;0.194;-0.072;-0.009;0.161;0.087;0.059;-0.202;-0.015;-0.473;0.705;0.297;-0.053;0.498;0.363;-0.63;-0.009;-0.178;-0.069;0.452;-0.019;0.157;-0.321;0.515;-0.033;0.301;-0.269;0.01;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.036;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.021;-0.009;0.043;-0.015;0.099;-0.009;-0.015;-0.021;0.099;-0.012;-0.009;-0.012;-0.012;-0.012
static__DisfuncOrg_False;0.031;0.012;0.063;0.08;-0.21;0.047;0.013;-0.028;-0.014;0.06;0.014;-0.038;0.328;-0.012;-0.656;0.095;0.305;-0.656;0.144;0.223;-0.656;0.103;0.319;-0.656;0.108;0.28;-0.656;0.613;-0.613;0.621;-0.621;0.509;0.062;-0.656;0.223;0.078;-0.656;0.203;0.1;-0.656;0.132;0.244;-0.656;1.0;-0.711;-0.656;0.845;-0.505;-0.656;0.733;-0.308;-0.656;0.128;0.3;-0.656;0.14;0.254;-0.656;0.747;-0.341;-0.656;0.149;0.235;-0.656;0.592;-0.141;-0.656;0.232;0.082;-0.656;0.104;0.275;-0.656;0.125;0.307;-0.656;-0.418;0.656;-0.218;-0.195;-0.34;-0.195;-0.029;-0.484;-0.007;0.462;-0.097;-0.012;-0.097;-0.393;0.038;-0.393;0.327;-0.338;0.019;-0.091;-0.016;-0.084;0.153;-0.138;-0.328;-0.354;0.047;0.089;0.035;0.007;0.038;-0.02;-0.298;-0.029;-0.038;-0.058;0.098;0.091;-0.069;0.046;-0.108;0.025;0.013;-0.09;-0.071;-0.016;0.106;0.023;0.305;-0.463;-0.195;0.042;-0.361;-0.272;0.462;0.013;0.161;0.008;-0.338;0.033;-0.086;0.192;-0.354;0.05;-0.209;0.187;-0.029;0.019;0.013;-0.007;0.013;0.013;0.023;-0.036;0.026;0.013;0.019;0.023;0.042;-0.002;0.019;0.033;0.013;-0.058;0.023;-0.059;-0.097;0.023;0.033;-0.059;0.019;0.013;0.019;-0.059;0.019
static__DisfuncOrg_True;-0.018;0.051;-0.045;-0.058;0.215;-0.025;-0.012;-0.03;-0.034;-0.043;-0.033;-0.027;-0.121;0.159;-0.064;-0.039;0.071;-0.064;-0.083;0.11;-0.064;-0.058;0.088;-0.064;-0.049;0.08;-0.064;0.068;-0.068;0.067;-0.067;0.079;-0.044;-0.064;-0.086;0.115;-0.064;-0.076;0.104;-0.064;-0.075;0.102;-0.064;-0.711;1.0;-0.064;-0.495;0.725;-0.064;-0.167;0.438;-0.064;-0.091;0.116;-0.064;-0.093;0.118;-0.064;-0.229;0.487;-0.064;-0.099;0.124;-0.064;-0.118;0.237;-0.064;-0.145;0.17;-0.064;-0.041;0.072;-0.064;-0.089;0.114;-0.064;-0.041;0.064;-0.021;-0.019;-0.033;-0.019;0.056;-0.047;0.03;-0.024;-0.009;0.053;-0.009;-0.038;0.028;-0.038;-0.064;0.026;-0.013;0.086;0.036;0.054;0.016;-0.013;0.046;-0.012;-0.02;-0.061;0.026;0.025;-0.027;-0.038;0.007;0.029;-0.016;-0.001;0.054;-0.033;0.11;-0.068;-0.038;0.033;-0.009;-0.032;0.014;-0.034;0.049;-0.016;0.038;-0.045;-0.019;-0.007;0.013;0.021;-0.024;-0.009;-0.047;0.054;0.026;-0.026;-0.032;0.046;-0.012;-0.036;-0.004;0.003;0.029;-0.013;-0.009;-0.025;-0.009;-0.009;-0.016;0.016;-0.001;-0.009;-0.013;-0.016;-0.03;-0.027;-0.013;-0.023;-0.009;0.037;-0.016;-0.013;0.137;-0.016;-0.023;-0.013;-0.013;-0.009;-0.013;0.09;-0.013
static__DisfuncOrg_other;-0.025;-0.072;-0.041;-0.051;0.066;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.154;1.0;-0.093;-0.509;1.0;-0.114;-0.434;1.0;-0.085;-0.547;1.0;-0.1;-0.483;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.234;1.0;-0.207;-0.253;1.0;-0.108;-0.455;1.0;-0.656;-0.064;1.0;-0.669;-0.062;1.0;-0.86;-0.033;1.0;-0.084;-0.55;1.0;-0.099;-0.487;1.0;-0.815;-0.04;1.0;-0.105;-0.466;1.0;-0.714;-0.054;1.0;-0.174;-0.299;1.0;-0.104;-0.468;1.0;-0.082;-0.558;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.019;0.738;-0.023;-0.63;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.396;0.452;-0.012;0.036;-0.015;0.061;-0.234;0.21;0.416;0.515;-0.045;-0.061;-0.077;-0.036;-0.025;0.07;0.415;0.01;0.072;0.084;-0.198;-0.093;-0.02;0.008;0.194;-0.072;-0.009;0.161;0.087;0.059;-0.202;-0.015;-0.473;0.705;0.297;-0.053;0.498;0.363;-0.63;-0.009;-0.178;-0.069;0.452;-0.019;0.157;-0.321;0.515;-0.033;0.301;-0.269;0.01;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.036;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.021;-0.009;0.043;-0.015;0.099;-0.009;-0.015;-0.021;0.099;-0.012;-0.009;-0.012;-0.012;-0.012
static__Hypotensie_False;0.014;0.027;0.062;0.062;-0.216;0.045;0.036;-0.03;-0.015;0.034;0.013;-0.024;0.316;0.007;-0.669;0.092;0.315;-0.669;0.129;0.242;-0.669;0.101;0.329;-0.669;0.104;0.29;-0.669;0.625;-0.625;0.633;-0.633;0.52;0.061;-0.669;0.223;0.084;-0.669;0.212;0.097;-0.669;0.129;0.254;-0.669;0.845;-0.495;-0.669;1.0;-0.701;-0.669;0.638;-0.102;-0.669;0.126;0.309;-0.669;0.148;0.253;-0.669;0.717;-0.271;-0.669;0.146;0.244;-0.669;0.579;-0.108;-0.669;0.184;0.134;-0.669;0.123;0.266;-0.669;0.123;0.316;-0.669;-0.425;0.669;-0.222;-0.199;-0.346;-0.199;0.01;-0.493;-0.008;0.437;-0.099;0.011;-0.099;-0.401;0.074;-0.401;0.272;-0.329;0.018;-0.05;0.025;-0.086;0.15;-0.14;-0.316;-0.361;0.045;0.043;0.073;0.038;0.037;-0.048;-0.304;0.01;-0.056;-0.061;0.096;0.119;-0.071;0.043;-0.127;0.083;0.013;-0.093;-0.075;-0.033;0.095;0.023;0.328;-0.472;-0.199;0.021;-0.353;-0.245;0.437;0.013;0.123;0.06;-0.329;0.01;-0.113;0.229;-0.361;0.019;-0.217;0.186;0.01;0.018;0.013;-0.05;0.013;0.013;0.023;0.013;-0.014;0.013;0.018;0.023;0.041;-0.003;0.018;0.032;0.013;-0.06;0.023;-0.061;-0.099;0.023;0.032;-0.061;0.018;0.013;0.018;-0.061;0.018
static__Hypotensie_True;0.005;0.032;-0.043;-0.035;0.226;-0.022;-0.042;-0.029;-0.033;-0.007;-0.032;-0.048;-0.102;0.138;-0.062;-0.033;0.065;-0.062;-0.064;0.091;-0.062;-0.054;0.083;-0.062;-0.044;0.074;-0.062;0.065;-0.065;0.065;-0.065;0.076;-0.042;-0.062;-0.084;0.112;-0.062;-0.086;0.113;-0.062;-0.069;0.096;-0.062;-0.505;0.725;-0.062;-0.701;1.0;-0.062;-0.032;0.168;-0.062;-0.088;0.112;-0.062;-0.104;0.127;-0.062;-0.182;0.402;-0.062;-0.095;0.119;-0.062;-0.091;0.197;-0.062;-0.08;0.107;-0.062;-0.065;0.092;-0.062;-0.086;0.111;-0.062;-0.039;0.062;-0.021;-0.018;-0.032;-0.018;0.005;-0.045;0.033;0.017;-0.009;0.024;-0.009;-0.037;-0.018;-0.037;0.014;0.008;-0.013;0.033;-0.019;0.057;0.023;-0.013;0.025;-0.009;-0.017;0.0;-0.025;-0.017;-0.026;-0.002;0.011;-0.023;0.007;0.001;0.061;-0.07;0.115;-0.065;-0.016;-0.043;-0.009;-0.031;0.017;-0.013;0.066;-0.016;0.014;-0.043;-0.018;0.023;-0.003;-0.019;0.017;-0.009;0.005;-0.014;0.008;0.005;0.001;0.001;-0.009;0.006;0.003;0.008;-0.023;-0.013;-0.009;0.033;-0.009;-0.009;-0.016;-0.051;0.054;-0.009;-0.013;-0.016;-0.029;-0.026;-0.013;-0.022;-0.009;0.039;-0.016;-0.013;0.141;-0.016;-0.022;-0.013;-0.013;-0.009;-0.013;0.094;-0.013
static__Hypotensie_other;-0.025;-0.072;-0.041;-0.051;0.066;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.154;1.0;-0.093;-0.509;1.0;-0.114;-0.434;1.0;-0.085;-0.547;1.0;-0.1;-0.483;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.234;1.0;-0.207;-0.253;1.0;-0.108;-0.455;1.0;-0.656;-0.064;1.0;-0.669;-0.062;1.0;-0.86;-0.033;1.0;-0.084;-0.55;1.0;-0.099;-0.487;1.0;-0.815;-0.04;1.0;-0.105;-0.466;1.0;-0.714;-0.054;1.0;-0.174;-0.299;1.0;-0.104;-0.468;1.0;-0.082;-0.558;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.019;0.738;-0.023;-0.63;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.396;0.452;-0.012;0.036;-0.015;0.061;-0.234;0.21;0.416;0.515;-0.045;-0.061;-0.077;-0.036;-0.025;0.07;0.415;0.01;0.072;0.084;-0.198;-0.093;-0.02;0.008;0.194;-0.072;-0.009;0.161;0.087;0.059;-0.202;-0.015;-0.473;0.705;0.297;-0.053;0.498;0.363;-0.63;-0.009;-0.178;-0.069;0.452;-0.019;0.157;-0.321;0.515;-0.033;0.301;-0.269;0.01;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.036;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.021;-0.009;0.043;-0.015;0.099;-0.009;-0.015;-0.021;0.099;-0.012;-0.009;-0.012;-0.012;-0.012
static__Hypoxie_False;0.012;0.032;0.048;0.065;-0.063;0.053;0.017;-0.055;-0.04;0.046;-0.005;-0.079;0.349;0.069;-0.86;0.079;0.439;-0.86;0.133;0.342;-0.86;0.067;0.476;-0.86;0.089;0.413;-0.86;0.809;-0.809;0.819;-0.819;0.688;0.047;-0.86;0.212;0.183;-0.86;0.201;0.196;-0.86;0.126;0.363;-0.86;0.733;-0.167;-0.86;0.638;-0.032;-0.86;1.0;-0.481;-0.86;0.098;0.452;-0.86;0.087;0.417;-0.86;0.766;-0.079;-0.86;0.122;0.373;-0.86;0.652;-0.006;-0.86;0.203;0.206;-0.86;0.108;0.386;-0.86;0.096;0.459;-0.86;-0.547;0.86;-0.286;-0.256;-0.445;-0.256;0.005;-0.634;0.027;0.555;-0.128;0.017;-0.128;-0.515;0.066;-0.515;0.355;-0.401;0.014;-0.025;-0.0;-0.049;0.193;-0.181;-0.374;-0.44;0.025;0.087;0.055;0.028;0.029;-0.046;-0.351;-0.02;-0.04;-0.098;0.15;0.086;0.023;0.011;-0.159;0.042;0.01;-0.133;-0.064;-0.038;0.156;0.018;0.413;-0.607;-0.256;0.038;-0.438;-0.322;0.555;0.01;0.175;0.047;-0.401;0.005;-0.12;0.258;-0.44;0.038;-0.25;0.225;-0.02;0.014;0.01;-0.025;0.01;0.01;0.018;-0.041;0.028;0.01;0.014;0.018;0.032;-0.02;0.014;0.025;0.01;-0.031;0.018;-0.083;0.01;0.018;0.025;-0.083;0.014;0.01;0.014;0.014;0.014
static__Hypoxie_True;0.019;0.06;-0.023;-0.04;0.01;-0.035;-0.023;-0.016;-0.018;-0.022;-0.017;0.011;-0.106;0.128;-0.033;0.006;0.015;-0.033;-0.064;0.076;-0.033;0.015;0.008;-0.033;-0.001;0.02;-0.033;0.035;-0.035;0.035;-0.035;0.041;-0.023;-0.033;-0.029;0.044;-0.033;-0.038;0.052;-0.033;-0.06;0.072;-0.033;-0.308;0.438;-0.033;-0.102;0.168;-0.033;-0.481;1.0;-0.033;-0.047;0.06;-0.033;-0.0;0.019;-0.033;-0.101;0.222;-0.033;-0.059;0.071;-0.033;-0.049;0.106;-0.033;-0.098;0.11;-0.033;-0.032;0.047;-0.033;-0.046;0.059;-0.033;-0.021;0.033;-0.011;-0.01;-0.017;-0.01;0.023;-0.024;-0.013;-0.006;-0.005;0.037;-0.005;-0.02;0.016;-0.02;-0.016;0.009;-0.007;-0.013;0.027;-0.01;0.025;-0.007;0.018;-0.023;0.029;-0.066;0.024;0.008;-0.014;-0.031;-0.026;0.023;-0.045;0.048;0.045;-0.009;-0.011;-0.035;-0.023;0.04;-0.005;-0.016;-0.024;-0.029;0.042;-0.008;0.004;-0.023;-0.01;0.017;0.002;0.006;-0.006;-0.005;-0.036;0.026;0.009;0.023;-0.034;0.046;-0.023;-0.018;-0.028;0.021;0.023;-0.007;-0.005;-0.013;-0.005;-0.005;-0.008;0.021;0.008;-0.005;-0.007;-0.008;-0.016;-0.014;-0.007;-0.012;-0.005;-0.012;-0.008;-0.007;-0.005;-0.008;-0.012;-0.007;-0.007;-0.005;-0.007;-0.007;-0.007
static__Hypoxie_other;-0.025;-0.072;-0.041;-0.051;0.066;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.154;1.0;-0.093;-0.509;1.0;-0.114;-0.434;1.0;-0.085;-0.547;1.0;-0.1;-0.483;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.234;1.0;-0.207;-0.253;1.0;-0.108;-0.455;1.0;-0.656;-0.064;1.0;-0.669;-0.062;1.0;-0.86;-0.033;1.0;-0.084;-0.55;1.0;-0.099;-0.487;1.0;-0.815;-0.04;1.0;-0.105;-0.466;1.0;-0.714;-0.054;1.0;-0.174;-0.299;1.0;-0.104;-0.468;1.0;-0.082;-0.558;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.019;0.738;-0.023;-0.63;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.396;0.452;-0.012;0.036;-0.015;0.061;-0.234;0.21;0.416;0.515;-0.045;-0.061;-0.077;-0.036;-0.025;0.07;0.415;0.01;0.072;0.084;-0.198;-0.093;-0.02;0.008;0.194;-0.072;-0.009;0.161;0.087;0.059;-0.202;-0.015;-0.473;0.705;0.297;-0.053;0.498;0.363;-0.63;-0.009;-0.178;-0.069;0.452;-0.019;0.157;-0.321;0.515;-0.033;0.301;-0.269;0.01;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.036;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.021;-0.009;0.043;-0.015;0.099;-0.009;-0.015;-0.021;0.099;-0.012;-0.009;-0.012;-0.012;-0.012
static__InfectionSuspected_False;-0.102;-0.1;0.016;-0.102;-0.009;-0.022;-0.058;-0.003;0.052;-0.056;0.193;0.185;0.215;-0.183;-0.084;0.788;-0.631;-0.084;0.626;-0.523;-0.084;0.846;-0.658;-0.084;0.744;-0.607;-0.084;0.089;-0.089;0.088;-0.088;0.089;-0.032;-0.084;0.34;-0.301;-0.084;0.371;-0.329;-0.084;0.655;-0.54;-0.084;0.128;-0.091;-0.084;0.126;-0.088;-0.084;0.098;-0.047;-0.084;1.0;-0.786;-0.084;0.752;-0.612;-0.084;0.103;-0.056;-0.084;0.629;-0.513;-0.084;0.118;-0.078;-0.084;0.35;-0.299;-0.084;0.679;-0.556;-0.084;0.966;-0.752;-0.084;-0.053;0.084;-0.028;-0.025;-0.043;-0.025;-0.048;-0.062;-0.033;0.121;-0.012;-0.058;-0.012;-0.05;0.028;-0.05;0.075;-0.085;-0.018;-0.033;-0.043;-0.025;0.137;-0.018;-0.074;-0.058;-0.065;-0.147;-0.023;0.128;0.254;-0.124;0.025;-0.048;-0.114;-0.05;-0.139;0.349;0.128;0.586;-0.12;-0.024;-0.012;-0.042;-0.038;-0.108;-0.129;0.18;0.024;-0.059;-0.025;0.025;-0.093;-0.071;0.121;-0.012;0.031;-0.003;-0.085;0.039;-0.183;0.199;-0.058;-0.047;-0.095;0.041;-0.048;0.065;0.104;-0.033;0.104;0.104;0.18;-0.047;-0.334;-0.012;0.065;0.18;0.256;0.212;0.147;0.255;-0.012;-0.031;0.113;0.065;-0.012;0.18;0.255;0.065;0.147;0.104;0.147;0.065;-0.018
static__InfectionSuspected_True;0.101;0.129;0.012;0.117;-0.033;0.043;0.052;-0.043;-0.079;0.072;-0.171;-0.207;0.028;0.249;-0.55;-0.602;0.845;-0.55;-0.454;0.707;-0.55;-0.656;0.891;-0.55;-0.561;0.808;-0.55;0.511;-0.511;0.518;-0.518;0.427;0.052;-0.55;-0.145;0.397;-0.55;-0.183;0.433;-0.55;-0.482;0.735;-0.55;0.3;0.116;-0.55;0.309;0.112;-0.55;0.452;0.06;-0.55;-0.786;1.0;-0.55;-0.568;0.815;-0.55;0.419;0.072;-0.55;-0.462;0.719;-0.55;0.345;0.099;-0.55;-0.185;0.437;-0.55;-0.504;0.756;-0.55;-0.758;0.976;-0.55;-0.35;0.55;-0.183;-0.163;-0.285;-0.163;0.052;-0.406;0.042;0.289;-0.082;0.074;-0.082;-0.329;0.028;-0.329;0.183;-0.209;0.022;0.005;0.046;-0.017;0.031;-0.115;-0.196;-0.271;0.082;0.161;0.067;-0.085;-0.197;0.06;-0.279;0.034;0.051;-0.01;0.239;-0.235;-0.095;-0.496;-0.02;0.065;0.016;-0.065;-0.022;0.053;0.234;-0.141;0.274;-0.388;-0.163;0.012;-0.231;-0.166;0.289;0.016;0.085;0.045;-0.209;-0.02;0.056;0.032;-0.271;0.06;-0.107;0.133;0.034;-0.046;-0.082;0.005;-0.082;-0.082;-0.141;0.018;0.303;0.016;-0.046;-0.141;-0.197;-0.197;-0.115;-0.2;0.016;-0.001;-0.085;-0.115;0.016;-0.141;-0.2;-0.115;-0.115;-0.082;-0.115;-0.046;0.022
static__InfectionSuspected_other;-0.025;-0.072;-0.041;-0.051;0.066;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.154;1.0;-0.093;-0.509;1.0;-0.114;-0.434;1.0;-0.085;-0.547;1.0;-0.1;-0.483;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.234;1.0;-0.207;-0.253;1.0;-0.108;-0.455;1.0;-0.656;-0.064;1.0;-0.669;-0.062;1.0;-0.86;-0.033;1.0;-0.084;-0.55;1.0;-0.099;-0.487;1.0;-0.815;-0.04;1.0;-0.105;-0.466;1.0;-0.714;-0.054;1.0;-0.174;-0.299;1.0;-0.104;-0.468;1.0;-0.082;-0.558;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.019;0.738;-0.023;-0.63;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.396;0.452;-0.012;0.036;-0.015;0.061;-0.234;0.21;0.416;0.515;-0.045;-0.061;-0.077;-0.036;-0.025;0.07;0.415;0.01;0.072;0.084;-0.198;-0.093;-0.02;0.008;0.194;-0.072;-0.009;0.161;0.087;0.059;-0.202;-0.015;-0.473;0.705;0.297;-0.053;0.498;0.363;-0.63;-0.009;-0.178;-0.069;0.452;-0.019;0.157;-0.321;0.515;-0.033;0.301;-0.269;0.01;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.036;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.021;-0.009;0.043;-0.015;0.099;-0.009;-0.015;-0.021;0.099;-0.012;-0.009;-0.012;-0.012;-0.012
static__Infusion_False;-0.076;-0.1;-0.026;-0.066;-0.017;-0.0;-0.046;-0.014;0.09;-0.043;0.247;0.126;0.194;-0.154;-0.099;0.667;-0.518;-0.099;0.571;-0.464;-0.099;0.722;-0.545;-0.099;0.676;-0.539;-0.099;0.105;-0.105;0.104;-0.104;0.096;-0.023;-0.099;0.301;-0.254;-0.099;0.329;-0.28;-0.099;0.582;-0.466;-0.099;0.14;-0.093;-0.099;0.148;-0.104;-0.099;0.087;-0.0;-0.099;0.752;-0.568;-0.099;1.0;-0.821;-0.099;0.122;-0.067;-0.099;0.521;-0.408;-0.099;0.115;-0.057;-0.099;0.328;-0.271;-0.099;0.565;-0.446;-0.099;0.769;-0.578;-0.099;-0.063;0.099;-0.033;-0.029;-0.051;-0.029;-0.044;-0.073;-0.039;0.136;-0.015;-0.068;-0.015;-0.059;0.025;-0.059;0.089;-0.1;-0.021;-0.039;-0.038;-0.029;0.177;-0.021;-0.088;-0.068;-0.015;-0.199;-0.041;0.135;0.25;-0.143;0.023;-0.044;-0.135;-0.059;-0.081;0.312;0.105;0.537;-0.146;-0.025;-0.015;0.044;-0.073;-0.127;-0.074;0.152;0.01;-0.07;-0.029;0.053;-0.11;-0.073;0.136;-0.015;0.034;-0.004;-0.1;0.052;-0.221;0.236;-0.068;-0.028;-0.116;0.061;-0.044;0.124;0.088;-0.039;0.088;0.088;0.152;-0.045;-0.307;-0.015;0.124;0.152;0.214;0.213;0.124;0.216;0.088;0.006;0.093;0.052;-0.015;0.152;0.216;0.052;0.124;0.088;0.124;0.052;0.052
