;static__Age;index__CRP_0;index__Leucocytes_0;index__hour_0;index__day_0;index__month_0;index__timesincemidnight_0;index__OrderOfEvent_0;index__openCases_0;index__remainingtime_0;index__CRP_1;index__LacticAcid_1;index__Leucocytes_1;index__hour_1;index__day_1;index__month_1;index__timesincemidnight_1;index__timesincelast_1;index__timesincestart_1;index__OrderOfEvent_1;index__openCases_1;index__remainingtime_1;index__CRP_2;index__LacticAcid_2;index__Leucocytes_2;index__hour_2;index__day_2;index__month_2;index__timesincemidnight_2;index__timesincelast_2;index__timesincestart_2;index__OrderOfEvent_2;index__openCases_2;index__remainingtime_2;index__CRP_3;index__LacticAcid_3;index__Leucocytes_3;index__hour_3;index__day_3;index__month_3;index__timesincemidnight_3;index__timesincelast_3;index__timesincestart_3;index__OrderOfEvent_3;index__openCases_3;index__remainingtime_3;index__CRP_4;index__LacticAcid_4;index__Leucocytes_4;index__hour_4;index__day_4;index__month_4;index__timesincemidnight_4;index__timesincelast_4;index__timesincestart_4;index__OrderOfEvent_4;index__openCases_4;index__remainingtime_4;index__CRP_5;index__LacticAcid_5;index__Leucocytes_5;index__hour_5;index__day_5;index__month_5;index__timesincemidnight_5;index__timesincelast_5;index__timesincestart_5;index__OrderOfEvent_5;index__openCases_5;index__remainingtime_5;encoded_label
index__CRP_1;-0.039;0.236;-0.021;-0.041;0.031;-0.052;-0.039;-0.019;0.021;-0.048;1.0;0.196;0.361;-0.015;0.031;-0.052;-0.019;0.076;0.125;0.319;0.02;-0.048;0.418;0.293;0.277;-0.01;0.031;-0.052;-0.012;0.076;0.107;0.123;0.021;-0.048;0.065;-0.052;0.074;-0.014;0.031;-0.052;-0.015;-0.033;0.083;-0.264;0.021;-0.048;0.228;-0.016;0.073;-0.011;0.031;-0.052;-0.012;0.009;0.087;-0.01;0.021;-0.048;0.24;0.05;0.025;-0.005;0.031;-0.052;-0.007;-0.012;0.02;0.095;0.021;-0.048;-0.008
index__LacticAcid_1;0.018;0.036;-0.016;-0.068;0.029;0.009;-0.069;-0.015;0.056;0.034;0.196;1.0;0.362;-0.064;0.029;0.009;-0.065;-0.0;0.003;0.712;0.056;0.034;-0.017;0.36;0.09;-0.066;0.029;0.009;-0.067;-0.02;-0.015;-0.184;0.056;0.034;-0.069;0.046;0.059;-0.07;0.029;0.009;-0.07;-0.021;-0.032;-0.218;0.056;0.034;-0.01;0.038;0.057;-0.069;0.029;0.009;-0.069;-0.017;-0.03;-0.008;0.056;0.034;-0.012;0.069;0.007;-0.071;0.029;0.009;-0.071;-0.019;-0.026;0.044;0.056;0.034;-0.006
index__Leucocytes_1;-0.104;0.416;0.649;-0.118;0.022;0.023;-0.119;0.551;0.081;-0.027;0.361;0.362;1.0;-0.08;0.022;0.023;-0.082;0.215;0.243;0.257;0.081;-0.027;0.24;0.271;0.448;-0.003;0.022;0.023;-0.004;0.511;0.533;0.021;0.08;-0.027;-0.032;-0.078;0.127;-0.005;0.022;0.023;-0.006;0.024;0.507;-0.32;0.08;-0.027;0.115;-0.068;0.131;-0.002;0.022;0.023;-0.003;-0.027;0.476;-0.007;0.08;-0.027;0.132;-0.008;0.032;0.012;0.021;0.023;0.008;-0.01;0.153;0.121;0.081;-0.027;-0.011
index__hour_1;-0.07;-0.053;-0.042;0.945;-0.013;-0.077;0.944;-0.065;-0.046;-0.03;-0.015;-0.064;-0.08;1.0;-0.014;-0.077;0.999;0.055;0.054;-0.009;-0.046;-0.03;-0.051;-0.02;-0.011;0.965;-0.014;-0.077;0.963;-0.073;-0.025;0.029;-0.046;-0.03;0.021;-0.007;-0.066;0.95;-0.013;-0.077;0.95;-0.055;-0.025;0.01;-0.046;-0.03;-0.005;-0.034;-0.084;0.937;-0.013;-0.077;0.938;0.005;-0.023;-0.027;-0.046;-0.03;0.012;-0.047;-0.031;0.881;-0.013;-0.077;0.882;-0.032;-0.037;-0.009;-0.045;-0.03;-0.087
index__day_1;0.013;0.046;0.048;-0.007;1.0;0.024;-0.006;0.041;-0.02;0.026;0.031;0.029;0.022;-0.014;1.0;0.024;-0.014;0.006;0.003;-0.031;-0.019;0.026;0.089;0.028;0.043;-0.001;1.0;0.024;-0.0;0.025;0.021;0.017;-0.019;0.026;0.024;-0.006;-0.055;0.006;1.0;0.024;0.006;-0.008;0.024;-0.037;-0.019;0.026;0.083;-0.033;-0.002;0.005;1.0;0.024;0.004;0.028;0.032;0.014;-0.02;0.026;0.071;0.003;-0.018;-0.006;1.0;0.024;-0.009;-0.026;-0.013;0.016;-0.019;0.026;0.047
index__month_1;0.035;-0.007;0.027;-0.096;0.024;1.0;-0.095;0.038;0.213;-0.002;-0.052;0.009;0.023;-0.077;0.024;1.0;-0.078;0.001;-0.002;-0.015;0.213;-0.002;0.056;-0.043;0.016;-0.057;0.023;1.0;-0.058;0.018;0.017;-0.01;0.213;-0.002;0.043;0.024;0.034;-0.053;0.023;1.0;-0.052;-0.013;0.004;0.045;0.213;-0.002;0.035;0.054;0.001;-0.065;0.023;1.0;-0.063;-0.053;-0.009;0.01;0.213;-0.002;-0.017;0.061;0.039;-0.08;0.024;1.0;-0.079;-0.019;-0.02;-0.051;0.213;-0.002;-0.014
index__timesincemidnight_1;-0.069;-0.053;-0.04;0.943;-0.013;-0.078;0.943;-0.065;-0.045;-0.033;-0.019;-0.065;-0.082;0.999;-0.014;-0.078;1.0;0.058;0.057;-0.011;-0.045;-0.033;-0.052;-0.02;-0.012;0.964;-0.014;-0.078;0.964;-0.071;-0.023;0.028;-0.045;-0.033;0.021;-0.006;-0.066;0.95;-0.014;-0.078;0.95;-0.053;-0.022;0.012;-0.045;-0.033;-0.005;-0.034;-0.085;0.938;-0.013;-0.078;0.938;0.008;-0.018;-0.026;-0.045;-0.033;0.013;-0.048;-0.031;0.881;-0.013;-0.078;0.882;-0.03;-0.034;-0.01;-0.045;-0.033;-0.089
index__timesincelast_1;-0.091;0.103;0.349;-0.07;0.006;0.001;-0.071;-0.038;0.02;0.02;0.076;-0.0;0.215;0.055;0.006;0.001;0.058;1.0;0.997;0.014;0.02;0.02;0.021;-0.02;0.106;0.049;0.006;0.001;0.054;-0.025;0.629;-0.021;0.02;0.02;-0.032;-0.044;0.008;0.048;0.006;0.001;0.053;-0.023;0.601;-0.047;0.02;0.02;0.027;-0.081;-0.004;0.052;0.006;0.001;0.054;-0.027;0.562;-0.008;0.02;0.02;0.054;-0.02;-0.007;0.049;0.007;0.001;0.046;-0.007;0.184;0.076;0.02;0.02;0.002
index__timesincestart_1;-0.093;0.101;0.348;-0.072;0.003;-0.002;-0.073;-0.039;0.021;0.015;0.125;0.003;0.243;0.054;0.003;-0.002;0.057;0.997;1.0;0.037;0.021;0.015;0.042;0.008;0.129;0.048;0.003;-0.002;0.052;-0.023;0.629;-0.006;0.021;0.015;-0.034;-0.048;0.015;0.046;0.003;-0.002;0.051;-0.025;0.599;-0.069;0.021;0.015;0.036;-0.08;0.003;0.05;0.003;-0.002;0.052;-0.025;0.562;-0.009;0.021;0.015;0.063;-0.016;-0.006;0.047;0.003;-0.002;0.044;-0.009;0.182;0.081;0.021;0.015;0.002
index__OrderOfEvent_1;-0.014;-0.335;-0.413;-0.016;-0.03;-0.015;-0.018;-0.481;0.035;0.042;0.319;0.712;0.257;-0.009;-0.031;-0.015;-0.011;0.014;0.037;1.0;0.035;0.042;-0.063;0.415;0.022;-0.068;-0.031;-0.015;-0.07;-0.364;-0.273;-0.031;0.036;0.042;-0.139;0.029;0.034;-0.073;-0.031;-0.015;-0.074;-0.085;-0.293;-0.278;0.036;0.042;-0.028;0.093;0.033;-0.072;-0.031;-0.015;-0.073;0.008;-0.267;-0.01;0.036;0.042;-0.039;0.114;0.004;-0.081;-0.031;-0.015;-0.08;-0.023;-0.109;0.004;0.036;0.042;-0.004
index__openCases_1;-0.055;-0.005;0.039;-0.057;-0.019;0.213;-0.059;0.03;1.0;-0.125;0.02;0.056;0.081;-0.046;-0.019;0.213;-0.045;0.02;0.021;0.035;1.0;-0.125;-0.044;0.022;0.095;-0.023;-0.019;0.213;-0.023;0.069;0.063;0.03;1.0;-0.125;-0.031;-0.022;-0.066;-0.017;-0.02;0.213;-0.018;0.008;0.063;-0.014;1.0;-0.125;-0.006;0.002;0.068;-0.006;-0.02;0.213;-0.006;0.017;0.063;0.041;1.0;-0.125;-0.052;-0.034;-0.075;-0.024;-0.019;0.213;-0.023;0.045;0.063;-0.052;1.0;-0.126;0.046
index__remainingtime_1;0.06;-0.049;-0.035;-0.001;0.025;-0.002;-0.001;-0.051;-0.125;1.0;-0.048;0.034;-0.027;-0.03;0.026;-0.002;-0.033;0.02;0.015;0.042;-0.125;1.0;-0.082;-0.036;-0.066;-0.04;0.026;-0.002;-0.043;-0.06;-0.034;-0.033;-0.126;1.0;-0.026;-0.023;0.009;-0.041;0.026;-0.002;-0.042;-0.044;-0.044;0.03;-0.125;1.0;-0.066;0.039;0.041;-0.042;0.025;-0.002;-0.042;-0.024;-0.052;0.014;-0.125;1.0;-0.083;-0.045;0.016;-0.034;0.025;-0.002;-0.033;-0.027;-0.04;-0.037;-0.125;1.0;-0.021
index__CRP_2;-0.026;0.371;0.192;-0.068;0.09;0.056;-0.065;0.243;-0.044;-0.082;0.418;-0.017;0.24;-0.051;0.089;0.056;-0.052;0.021;0.042;-0.063;-0.044;-0.082;1.0;0.376;0.507;-0.015;0.09;0.056;-0.018;0.214;0.208;0.472;-0.044;-0.082;0.207;0.194;0.084;-0.024;0.089;0.056;-0.025;-0.004;0.16;-0.28;-0.044;-0.082;0.354;-0.084;0.248;-0.019;0.089;0.056;-0.02;0.047;0.162;-0.199;-0.044;-0.082;0.539;0.154;0.09;0.014;0.089;0.056;0.008;0.007;0.063;0.156;-0.045;-0.082;-0.016
index__LacticAcid_2;0.005;-0.012;-0.035;-0.027;0.028;-0.043;-0.027;-0.032;0.022;-0.036;0.293;0.36;0.271;-0.02;0.028;-0.043;-0.02;-0.02;0.008;0.415;0.022;-0.036;0.376;1.0;0.428;-0.013;0.028;-0.043;-0.016;0.012;0.01;0.599;0.022;-0.036;-0.145;0.217;0.034;-0.022;0.028;-0.043;-0.023;-0.08;-0.032;-0.443;0.022;-0.036;0.01;0.11;0.166;-0.021;0.028;-0.043;-0.023;-0.005;-0.034;-0.15;0.022;-0.036;0.156;0.245;0.045;-0.028;0.028;-0.043;-0.033;-0.019;-0.026;0.095;0.022;-0.036;-0.013
index__Leucocytes_2;-0.024;0.226;0.338;-0.037;0.043;0.016;-0.035;0.286;0.095;-0.066;0.277;0.09;0.448;-0.011;0.043;0.016;-0.012;0.106;0.129;0.022;0.095;-0.066;0.507;0.428;1.0;0.032;0.043;0.016;0.028;0.304;0.31;0.655;0.094;-0.066;-0.061;0.067;0.153;0.025;0.043;0.016;0.023;-0.004;0.267;-0.308;0.094;-0.066;0.019;-0.105;0.326;0.03;0.043;0.016;0.028;0.007;0.266;-0.259;0.094;-0.066;0.233;0.073;0.146;0.046;0.042;0.016;0.042;-0.004;0.089;0.132;0.095;-0.066;-0.015
index__hour_2;-0.092;0.027;0.061;0.91;0.0;-0.057;0.909;0.058;-0.023;-0.04;-0.01;-0.066;-0.003;0.965;-0.001;-0.057;0.964;0.049;0.048;-0.068;-0.023;-0.04;-0.015;-0.013;0.032;1.0;-0.002;-0.057;0.999;0.079;0.09;0.024;-0.023;-0.04;0.037;-0.006;-0.057;0.985;-0.002;-0.057;0.985;-0.039;0.089;0.007;-0.024;-0.04;0.004;-0.043;-0.068;0.97;-0.002;-0.057;0.97;-0.034;0.068;-0.038;-0.023;-0.04;0.036;-0.048;-0.024;0.909;-0.001;-0.057;0.909;-0.043;-0.017;0.012;-0.023;-0.04;-0.088
index__day_2;0.013;0.046;0.048;-0.007;1.0;0.023;-0.005;0.041;-0.02;0.026;0.031;0.029;0.022;-0.014;1.0;0.023;-0.014;0.006;0.003;-0.031;-0.019;0.026;0.09;0.028;0.043;-0.002;1.0;0.023;-0.001;0.025;0.021;0.017;-0.02;0.026;0.024;-0.007;-0.056;0.005;1.0;0.023;0.006;-0.009;0.024;-0.037;-0.019;0.026;0.083;-0.033;-0.003;0.005;1.0;0.023;0.003;0.029;0.033;0.014;-0.02;0.026;0.071;0.003;-0.018;-0.007;1.0;0.023;-0.009;-0.025;-0.012;0.016;-0.019;0.026;0.047
index__month_2;0.035;-0.007;0.027;-0.096;0.024;1.0;-0.095;0.038;0.213;-0.002;-0.052;0.009;0.023;-0.077;0.024;1.0;-0.078;0.001;-0.002;-0.015;0.213;-0.002;0.056;-0.043;0.016;-0.057;0.023;1.0;-0.058;0.018;0.017;-0.01;0.213;-0.002;0.043;0.024;0.034;-0.053;0.023;1.0;-0.052;-0.013;0.004;0.045;0.213;-0.002;0.035;0.054;0.001;-0.065;0.023;1.0;-0.063;-0.053;-0.009;0.01;0.213;-0.002;-0.017;0.061;0.039;-0.08;0.024;1.0;-0.079;-0.019;-0.02;-0.051;0.213;-0.002;-0.014
index__timesincemidnight_2;-0.093;0.028;0.062;0.908;0.001;-0.058;0.907;0.056;-0.023;-0.043;-0.012;-0.067;-0.004;0.963;-0.0;-0.058;0.964;0.054;0.052;-0.07;-0.023;-0.043;-0.018;-0.016;0.028;0.999;-0.001;-0.058;1.0;0.081;0.094;0.021;-0.023;-0.043;0.036;-0.007;-0.056;0.986;-0.001;-0.058;0.987;-0.037;0.094;0.01;-0.023;-0.043;0.003;-0.045;-0.069;0.97;-0.0;-0.058;0.971;-0.032;0.073;-0.036;-0.023;-0.043;0.034;-0.049;-0.025;0.909;0.0;-0.058;0.909;-0.041;-0.013;0.012;-0.023;-0.043;-0.089
index__timesincelast_2;-0.09;0.516;0.646;-0.074;0.025;0.018;-0.073;0.772;0.069;-0.06;0.076;-0.02;0.511;-0.073;0.025;0.018;-0.071;-0.025;-0.023;-0.364;0.069;-0.06;0.214;0.012;0.304;0.079;0.025;0.018;0.081;1.0;0.758;0.026;0.069;-0.061;0.039;-0.075;0.06;0.081;0.025;0.018;0.082;0.071;0.742;-0.107;0.069;-0.061;0.064;-0.116;0.063;0.081;0.025;0.018;0.082;-0.031;0.685;-0.012;0.069;-0.061;0.105;-0.061;0.001;0.106;0.025;0.018;0.103;0.016;0.245;0.124;0.069;-0.061;-0.009
index__timesincestart_2;-0.125;0.466;0.727;-0.108;0.021;0.017;-0.108;0.573;0.063;-0.034;0.107;-0.015;0.533;-0.025;0.021;0.017;-0.023;0.629;0.629;-0.273;0.063;-0.034;0.208;0.01;0.31;0.09;0.021;0.017;0.094;0.758;1.0;0.02;0.062;-0.034;0.015;-0.068;0.051;0.089;0.021;0.017;0.093;0.042;0.966;-0.121;0.062;-0.034;0.075;-0.144;0.055;0.092;0.021;0.017;0.094;-0.034;0.897;-0.026;0.062;-0.034;0.127;-0.048;-0.003;0.111;0.021;0.017;0.106;0.007;0.309;0.153;0.063;-0.034;-0.006
index__OrderOfEvent_2;0.043;-0.032;-0.035;0.023;0.017;-0.01;0.023;-0.032;0.03;-0.033;0.123;-0.184;0.021;0.029;0.017;-0.01;0.028;-0.021;-0.006;-0.031;0.03;-0.033;0.472;0.599;0.655;0.024;0.017;-0.01;0.021;0.026;0.02;1.0;0.03;-0.033;-0.13;0.159;0.047;0.015;0.017;-0.01;0.014;-0.061;-0.024;-0.321;0.03;-0.033;-0.031;-0.041;0.186;0.02;0.017;-0.01;0.019;0.05;-0.003;-0.315;0.03;-0.033;0.188;0.136;0.06;0.016;0.018;-0.01;0.012;0.003;0.004;0.095;0.03;-0.033;-0.013
index__openCases_2;-0.056;-0.005;0.037;-0.057;-0.019;0.213;-0.059;0.028;1.0;-0.126;0.021;0.056;0.08;-0.046;-0.019;0.213;-0.045;0.02;0.021;0.036;1.0;-0.126;-0.044;0.022;0.094;-0.023;-0.02;0.213;-0.023;0.069;0.062;0.03;1.0;-0.126;-0.031;-0.022;-0.066;-0.017;-0.02;0.213;-0.018;0.008;0.062;-0.014;1.0;-0.126;-0.006;0.002;0.067;-0.006;-0.02;0.213;-0.006;0.017;0.063;0.041;1.0;-0.126;-0.052;-0.034;-0.075;-0.023;-0.019;0.213;-0.023;0.045;0.063;-0.052;1.0;-0.126;0.046
index__remainingtime_2;0.06;-0.049;-0.035;-0.001;0.025;-0.002;-0.001;-0.052;-0.125;1.0;-0.048;0.034;-0.027;-0.03;0.026;-0.002;-0.033;0.02;0.015;0.042;-0.125;1.0;-0.082;-0.036;-0.066;-0.04;0.026;-0.002;-0.043;-0.061;-0.034;-0.033;-0.126;1.0;-0.026;-0.023;0.009;-0.041;0.026;-0.002;-0.042;-0.044;-0.045;0.03;-0.125;1.0;-0.066;0.039;0.041;-0.042;0.025;-0.002;-0.042;-0.024;-0.053;0.014;-0.125;1.0;-0.083;-0.045;0.016;-0.034;0.025;-0.002;-0.033;-0.027;-0.041;-0.037;-0.125;1.0;-0.021
index__CRP_3;-0.084;0.183;0.057;0.011;0.024;0.043;0.014;0.098;-0.03;-0.026;0.065;-0.069;-0.032;0.021;0.024;0.043;0.021;-0.032;-0.034;-0.139;-0.031;-0.026;0.207;-0.145;-0.061;0.037;0.024;0.043;0.036;0.039;0.015;-0.13;-0.031;-0.026;1.0;0.131;0.143;0.043;0.024;0.043;0.043;-0.018;0.04;0.282;-0.03;-0.026;0.537;0.198;0.11;0.037;0.024;0.043;0.037;-0.038;-0.006;-0.036;-0.03;-0.026;0.316;-0.085;0.135;0.045;0.022;0.043;0.043;-0.056;-0.057;-0.3;-0.031;-0.026;0.012
index__LacticAcid_3;0.006;-0.061;-0.078;-0.006;-0.006;0.024;-0.004;-0.071;-0.022;-0.023;-0.052;0.046;-0.078;-0.007;-0.006;0.024;-0.006;-0.044;-0.048;0.029;-0.022;-0.023;0.194;0.217;0.067;-0.006;-0.007;0.024;-0.007;-0.075;-0.068;0.159;-0.022;-0.023;0.131;1.0;0.152;-0.006;-0.007;0.024;-0.005;0.127;-0.073;0.453;-0.022;-0.023;-0.217;0.388;-0.01;-0.01;-0.007;0.024;-0.01;-0.138;-0.104;-0.472;-0.022;-0.023;-0.042;0.412;0.096;-0.017;-0.008;0.024;-0.018;-0.065;-0.095;-0.188;-0.023;-0.023;-0.013
index__Leucocytes_3;-0.008;0.043;0.081;-0.076;-0.055;0.034;-0.075;0.065;-0.066;0.009;0.074;0.059;0.127;-0.066;-0.055;0.034;-0.066;0.008;0.015;0.034;-0.066;0.009;0.084;0.034;0.153;-0.057;-0.056;0.034;-0.056;0.06;0.051;0.047;-0.066;0.009;0.143;0.152;1.0;-0.058;-0.055;0.034;-0.056;0.109;0.057;0.305;-0.066;0.009;-0.008;0.08;0.273;-0.058;-0.056;0.034;-0.056;-0.008;0.043;-0.131;-0.066;0.009;-0.144;-0.097;0.736;-0.043;-0.056;0.034;-0.043;0.013;0.031;-0.294;-0.066;0.009;0.0
index__hour_3;-0.097;0.028;0.061;0.895;0.007;-0.053;0.895;0.059;-0.017;-0.041;-0.014;-0.07;-0.005;0.95;0.006;-0.053;0.95;0.048;0.046;-0.073;-0.017;-0.041;-0.024;-0.022;0.025;0.985;0.005;-0.053;0.986;0.081;0.089;0.015;-0.017;-0.041;0.043;-0.006;-0.058;1.0;0.005;-0.053;0.999;-0.001;0.103;0.014;-0.017;-0.041;0.003;-0.035;-0.074;0.986;0.005;-0.053;0.985;-0.002;0.088;-0.03;-0.017;-0.041;0.03;-0.054;-0.024;0.922;0.006;-0.053;0.92;-0.034;-0.002;0.0;-0.016;-0.041;-0.089
